lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n00129	Fonseca’s entry for 'Abrado'		lexicalEntry:n00129.e01		
lexicogEntry:n00130	Fonseca’s entry for 'Abrasus'		lexicalEntry:n00130.e01		
lexicogEntry:n00131	Fonseca’s entry for 'Abreptus'		lexicalEntry:n00131.e01		
lexicogEntry:n00132	Fonseca’s entry for 'Abripio'		lexicalEntry:n00132.e01		
lexicogEntry:n00133	Fonseca’s entry for 'Abrodo'		lexicalEntry:n00133.e01		
lexicogEntry:n00134	Fonseca’s entry for 'Abrogatio'		lexicalEntry:n00134.e01		
lexicogEntry:n00135	Fonseca’s entry for 'Abrogatus'		lexicalEntry:n00135.e01		
lexicogEntry:n00136	Fonseca’s entry for 'Abrogo'		lexicalEntry:n00136.e01		
lexicogEntry:n00137	Fonseca’s entry for 'Abrosi'		lexicalEntry:n00137.e01		
lexicogEntry:n00138	Fonseca’s entry for 'Abrosus'		lexicalEntry:n00138.e01		
lexicogEntry:n00139	Fonseca’s entry for 'Abrotonites'		lexicalEntry:n00139.e01		
lexicogEntry:n00140	Fonseca’s entry for 'Abrotonum'		lexicalEntry:n00140.e01		&
lexicogEntry:n00141	Fonseca’s entry for 'Abrotonus'		lexicalEntry:n00141.e01		
lexicogEntry:n00142	Fonseca’s entry for 'Abrumpo'		lexicalEntry:n00142.e01		
lexicogEntry:n00143	Fonseca’s entry for 'Abrupte'		lexicalEntry:n00143.e01		
lexicogEntry:n00144	Fonseca’s entry for 'Abruptio'		lexicalEntry:n00144.e01		
lexicogEntry:n00145	Fonseca’s entry for 'Abruptum'		lexicalEntry:n00145.e01		
lexicogEntry:n00146	Fonseca’s entry for 'Abruptus'		lexicalEntry:n00146.e01		
lexicogEntry:n00147	Fonseca’s entry for 'Abs'		lexicalEntry:n00147.e01		
lexicogEntry:n00148	Fonseca’s entry for 'Abscedentia'		lexicalEntry:n00148.e01		
lexicogEntry:n00149	Fonseca’s entry for 'Abscedo'		lexicalEntry:n00149.e01		
lexicogEntry:n00150	Fonseca’s entry for 'Abscessem'		lexicalEntry:n00150.e01		
lexicogEntry:n00151	Fonseca’s entry for 'Abscessio'		lexicalEntry:n00151.e01		&
lexicogEntry:n00152	Fonseca’s entry for 'Abscessus'		lexicalEntry:n00152.e01		
lexicogEntry:n00153	Fonseca’s entry for 'Abscido'		lexicalEntry:n00153.e01		&
lexicogEntry:n00154	Fonseca’s entry for 'Abscindo'		lexicalEntry:n00154.e01		
lexicogEntry:n00155	Fonseca’s entry for 'Abscise'		lexicalEntry:n00155.e01		
lexicogEntry:n00156	Fonseca’s entry for 'Abscisio'		lexicalEntry:n00156.e01		
lexicogEntry:n00157	Fonseca’s entry for 'Abscisus'		lexicalEntry:n00157.e01		
lexicogEntry:n00158	Fonseca’s entry for 'Abscisio'		lexicalEntry:n00158.e01		
lexicogEntry:n00159	Fonseca’s entry for 'Abscissus'		lexicalEntry:n00159.e01		
lexicogEntry:n00160	Fonseca’s entry for 'Abscondidi'		lexicalEntry:n00160.e01		
lexicogEntry:n00161	Fonseca’s entry for 'Abscondite'		lexicalEntry:n00161.e01		
lexicogEntry:n00162	Fonseca’s entry for 'Absconditus'		lexicalEntry:n00162.e01		
lexicogEntry:n00163	Fonseca’s entry for 'Abscondo'		lexicalEntry:n00163.e01		
lexicogEntry:n00164	Fonseca’s entry for 'Absconse'		lexicalEntry:n00164.e01		
lexicogEntry:n00165	Fonseca’s entry for 'Absens'		lexicalEntry:n00165.e01		
lexicogEntry:n00166	Fonseca’s entry for 'Absentia'		lexicalEntry:n00166.e01		
lexicogEntry:n00167	Fonseca’s entry for 'Absentivus'		lexicalEntry:n00167.e01		
lexicogEntry:n00168	Fonseca’s entry for 'Absento'		lexicalEntry:n00168.e01		
lexicogEntry:n00169	Fonseca’s entry for 'Absilio'		lexicalEntry:n00169.e01		
lexicogEntry:n00170	Fonseca’s entry for 'Absimilis'		lexicalEntry:n00170.e01		
lexicogEntry:n00171	Fonseca’s entry for 'Absinthiatus'		lexicalEntry:n00171.e01		
lexicogEntry:n00172	Fonseca’s entry for 'Absinthites'		lexicalEntry:n00172.e01		
lexicogEntry:n00173	Fonseca’s entry for 'Absinthium'		lexicalEntry:n00173.e01		&
lexicogEntry:n00174	Fonseca’s entry for 'Absinthius'		lexicalEntry:n00174.e01		
lexicogEntry:n00175	Fonseca’s entry for 'Absis'		lexicalEntry:n00175.e01		
lexicogEntry:n00176	Fonseca’s entry for 'Absisto'		lexicalEntry:n00176.e01		
lexicogEntry:n00177	Fonseca’s entry for 'Absolvo'		lexicalEntry:n00177.e01		
lexicogEntry:n00178	Fonseca’s entry for 'Absolute'		lexicalEntry:n00178.e01		
lexicogEntry:n00179	Fonseca’s entry for 'Absolutio'		lexicalEntry:n00179.e01		
lexicogEntry:n00180	Fonseca’s entry for 'Absolutorium'		lexicalEntry:n00180.e01		
lexicogEntry:n00181	Fonseca’s entry for 'Absolutorius'		lexicalEntry:n00181.e01		
lexicogEntry:n00182	Fonseca’s entry for 'Absolutus'		lexicalEntry:n00182.e01		
lexicogEntry:n00183	Fonseca’s entry for 'Absone'		lexicalEntry:n00183.e01		
lexicogEntry:n00184	Fonseca’s entry for 'Absonus'		lexicalEntry:n00184.e01		
lexicogEntry:n00185	Fonseca’s entry for 'Absorbeo'		lexicalEntry:n00185.e01		
lexicogEntry:n00186	Fonseca’s entry for 'Absorptio'		lexicalEntry:n00186.e01		
lexicogEntry:n00187	Fonseca’s entry for 'Abspello'		lexicalEntry:n00187.e01		
lexicogEntry:n00188	Fonseca’s entry for 'Absque'		lexicalEntry:n00188.e01		
lexicogEntry:n00189	Fonseca’s entry for 'Abstantia'		lexicalEntry:n00189.e01		
lexicogEntry:n00190	Fonseca’s entry for 'Abstemius'		lexicalEntry:n00190.e01		
lexicogEntry:n00191	Fonseca’s entry for 'Abstentus'		lexicalEntry:n00191.e01		
lexicogEntry:n00192	Fonseca’s entry for 'Abstergeo'		lexicalEntry:n00192.e01		&
lexicogEntry:n00193	Fonseca’s entry for 'Abstergo'		lexicalEntry:n00193.e01		
lexicogEntry:n00194	Fonseca’s entry for 'Absterreo'		lexicalEntry:n00194.e01		
lexicogEntry:n00195	Fonseca’s entry for 'Absterritus'		lexicalEntry:n00195.e01		
