ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00106.sg01.s02		Vet. Poet. apud Cic.			Recusar	 Recusar , prohibir 	
lexicalSense:n00107.sg01.s01		Virg.			Abolir	 Abolir , extinguir 	
lexicalSense:n00107.sg01.s02		Aboleri. Plin.			Morrer	 Morrer 	
lexicalSense:n00107.sg01.s99	usageExample:n00107.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00108.sg01.s01		Virg.			Anniquilar-se	 Anniquilar - se , extinguir - se 	
lexicalSense:n00108.sg01.s02		Lucr.			Diminuir-se	 Diminuir - se , perder a grandeza 	
lexicalSense:n00109.sg01.s01		* Suet.			Annullação	 Annullação , extinção 	
lexicalSense:n00110.sg01.s01		Plin.			Abolido	 Abolido , extincto , annullado 	
lexicalSense:n00110.sg01.s02		Plin.			Occulto	 Occulto , de segredo 	
lexicalSense:n00111.sg01.s01		Mart.			Vestido militar	 Vestido militar , ou dos Filosofos 	
lexicalSense:n00113.sg01.s01		Liv.			Abominavel	 Abominavel 	
lexicalSense:n00114.sg01.s01		Liv.			Que abomina	 Que abomina 	
lexicalSense:n00114.sg01.s02		Hor.			Abominado	 Abominado 	
lexicalSense:n00115.sg01.s01		* Plaut.			[Abominar	 [ Abominar , detestar , aborrecer como cousa execranda e de máo agouro . ] 	
lexicalSense:n00116.sg01.s01		Liv.			Abominar	 Abominar , detestar , aborrecer como cousa execranda e de máo agouro 	
lexicalSense:n00117.sg01.s01		* Solin.			Abominavel	 Abominavel 	
lexicalSense:n00118.sg01.s01		Gell.			Nascer antes de tempo	 Nascer antes de tempo 	
lexicalSense:n00118.sg01.s99	usageExample:n00118.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00119.sg01.s01		* Lucr.			Faltar	 Faltar , desfalecer 	
lexicalSense:n00120.sg01.s01		(venter) Paul. Ict.			Embrião ou parto imperfeito	 Embrião ou parto imperfeito , provocado á força de medicamentos 	
