ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n31514.sg01.s05		Cic. ex Poet.			Vertigem	 Vertigem 	
lexicalSense:n31514.sg01.s06		Cic.			Cume do monte	 Cume do monte 	
lexicalSense:n31514.sg01.s07		Lucr.			Parte mais alta de qualquer cousa	 Parte mais alta de qualquer cousa , v . g . de torre , de arvore , & c 	
lexicalSense:n31515.sg01.s01		* Cels.			Redondo	 Redondo , ou do feitio do osso do espinhaço 	
lexicalSense:n31516.sg01.s01		Plin.			Mainça	 Mainça , ou mauça no fuso 	
lexicalSense:n31517.sg01.s01		Liv.			De rodomoinho	 De rodomoinho 	
lexicalSense:n31518.sg01.s01		Lucil. apud Non.			Nó do espinhaço	 Nó do espinhaço 	
lexicalSense:n31518.sg01.s02		Vitr.			Junta nas maquinas	 Junta nas maquinas , com que se dobraõ 	
lexicalSense:n31519.sg01.s01		Plin.			Vertiginoso	 Vertiginoso , que padece vertigens 	
lexicalSense:n31520.sg01.s01		Pers.			Movimento circular	 Movimento circular 	
lexicalSense:n31520.sg01.s02		Plin.			Vertigem	 Vertigem , vagado 	
lexicalSense:n31521.sg01.s01		Cic.			Virar	 Virar , voltar , mudar 	
lexicalSense:n31521.sg01.s02					Verter	 Verter , traduzir 	
lexicalSense:n31521.sg01.s03					Destruir	 Destruir 	
lexicalSense:n31521.sg01.s04		Liv.			Considerar	 Considerar , ponderar 	
lexicalSense:n31521.sg01.s05		Cic.			Attribuir	 Attribuir 	
lexicalSense:n31521.sg01.s06					Consistir	 Consistir , depender 	
lexicalSense:n31521.sg01.s99	usageExample:n31521.sg01.s99.u01, usageExample:n31521.sg01.s99.u02, usageExample:n31521.sg01.s99.u03, usageExample:n31521.sg01.s99.u04, usageExample:n31521.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31522.sg01.s01		Varr.			Festas em honra do Deos Vertumno em o mez de Outubro	 Festas em honra do Deos Vertumno em o mez de Outubro 	
lexicalSense:n31523.sg01.s01		Varr.			Espeto	 Espeto 	
lexicalSense:n31523.sg01.s02		Virg.			Certa lança similhante ao espeto	 Certa lança similhante ao espeto 	
lexicalSense:n31524.sg01.s01		Varr.			Campo alquevado	 Campo alquevado 	
lexicalSense:n31525.sg01.s01		Plin.			Pequeno espeto	 Pequeno espeto 	
lexicalSense:n31526.sg01.s01		* Plaut.			Feito á maneira de hum carneiro capado	 Feito á maneira de hum carneiro capado 	
lexicalSense:n31527.sg01.s01		Cic.			Carneiro capado	 Carneiro capado 	
lexicalSense:n31527.sg01.s02		Plaut.			Homem estupido	 Homem estupido , ou cobarde 	
lexicalSense:n31528.sg01.s01		Plaut.			Genero de pequeno dardo	 Genero de pequeno dardo , ou lança 	
lexicalSense:n31529.sg01.s01		conj. Cic.			Mas	 Mas , porém 	
lexicalSense:n31529.sg01.s02		Ter. adv.			Na verdade	 Na verdade 	
lexicalSense:n31530.sg01.s01		Cic.			Verdade	 Verdade 	
lexicalSense:n31530.sg01.s02					O justo	 O justo , o acertado , o conveniente 	
lexicalSense:n31531.sg01.s01		Ter.			[Mas todavia.]	 [ Mas todavia . ] 	
lexicalSense:n31532.sg01.s01		Cic.			Mas todavia	 Mas todavia 	
lexicalSense:n31533.sg01.s01		Cic.			Mas com tudo	 Mas com tudo 	
lexicalSense:n31534.sg01.s01		Cic.			Sincero	 Sincero , naõ falsificado 	
lexicalSense:n31534.sg01.s02		Ter.			Verdadeiro	 Verdadeiro , que falla verdade 	
lexicalSense:n31534.sg01.s03					Natural	 Natural , legitimo , proprio 	
lexicalSense:n31535.sg01.s01		Caes.			Genero de dardo	 Genero de dardo , ou azagaia 	
lexicalSense:n31536.sg01.s01		* Virg.			Armado de dardo	 Armado de dardo 	
lexicalSense:n31537.sg01.s01		Hor.			Loucura	 Loucura 	
lexicalSense:n31538.sg01.s01		Cic.			Louco	 Louco , furioso 	
lexicalSense:n31538.sg01.s02		Virg.			Que faz louco	 Que faz louco , ou furioso 	
lexicalSense:n31539.sg01.s01		Virg.			Que come	 Que come 	
lexicalSense:n31540.sg01.s01		Cic.			Comer	 Comer 	
lexicalSense:n31540.sg01.s02					Gozar	 Gozar , participar 	
lexicalSense:n31540.sg01.s03		Cic.			Ser bom para comer	 Ser bom para comer 	
lexicalSense:n31541.sg01.s01		Virg.			Comestivel	 Comestivel , bom para se comer 	
lexicalSense:n31541.sg01.s02		Ovid.			Miudo	 Miudo , pequeno 	
lexicalSense:n31542.sg01.s01		Cic.			Bexiga	 Bexiga 	
lexicalSense:n31543.sg01.s01		Plin.			Certa herva	 Certa herva , que cura a pedra da bexiga 	
lexicalSense:n31544.sg01.s01		Cic.			Folhelhozinho de semente das hervas	 Folhelhozinho de semente das hervas 	
lexicalSense:n31545.sg01.s01		Cic.			Vespa	 Vespa 	
lexicalSense:n31546.sg01.s01		Virg.			Estrella da tarde	 Estrella da tarde 	
lexicalSense:n31546.sg01.s02		Caes.			Tarde	 Tarde 	
lexicalSense:n31547.sg01.s01		Plin.			De tarde	 De tarde 	
lexicalSense:n31548.sg01.s01		Cic.			Tarde	 Tarde 	
lexicalSense:n31549.sg01.s01		Nep.			Que se vai fazendo tarde	 Que se vai fazendo tarde 	
lexicalSense:n31550.sg01.s01		Ter.			[Vai-se fazendo tarde	 [ Vai - se fazendo tarde , vem anoitecendo . ] 	
lexicalSense:n31551.sg01.s01		Gell.			Vai-se fazendo tarde	 Vai - se fazendo tarde , vem anoitecendo 	
lexicalSense:n31552.sg01.s01		Cic.			[De tarde.]	 [ De tarde . ] 	
lexicalSense:n31553.sg01.s01		Cic.			De tarde	 De tarde 	
lexicalSense:n31554.sg01.s01		Varr.			Morcego	 Morcego , ave 	
lexicalSense:n31554.sg01.s02		Ulp.			O que só anda buscando fogir ao credor	 O que só anda buscando fogir ao credor , ao senhor , & c 	
lexicalSense:n31555.sg01.s01		Cic.			De tarde	 De tarde 	
lexicalSense:n31555.sg01.s02		Hor.			Occidental	 Occidental , situado ao Poente 	
lexicalSense:n31556.sg01.s01		Plaut.			Estrella da tarde	 Estrella da tarde 	
lexicalSense:n31558.sg01.s01		Suet.			O que levava á enterrar de noite os que por pobres naõ podiaõ ir de dia com pompa	 O que levava á enterrar de noite os que por pobres naõ podiaõ ir de dia com pompa 	
lexicalSense:n31559.sg01.s01		Cic.			Vosso	 Vosso 	
lexicalSense:n31560.sg01.s01		Plin.			Lugar	 Lugar , em que se guardaõ ou vendem vestidos 	
lexicalSense:n31560.sg01.s02		Col.			Vestido	 Vestido 	
lexicalSense:n31561.sg01.s01		Col.			Pertencente aos vestidos	 Pertencente aos vestidos 	
lexicalSense:n31562.sg01.s01		Ulp.			O que faz	 O que faz , ou vende vestidos 	
lexicalSense:n31563.sg01.s01		Cic.			Vestibulo	 Vestibulo , entrada de algum edificio sagrado , ou profano 	
lexicalSense:n31563.sg01.s02					Qualquer entrada	 Qualquer entrada 	
lexicalSense:n31564.sg01.s01		Gell.			Que está já entrado na puberdade	 Que está já entrado na puberdade 	
lexicalSense:n31565.sg01.s01		Petr.			Companhia dos que dormem debaixo do mesmo fato	 Companhia dos que dormem debaixo do mesmo fato , ou roupa 	
lexicalSense:n31566.sg01.s01		Paul. Ict.			Pequeno vestido	 Pequeno vestido 	
lexicalSense:n31567.sg01.s01		Petr.			Que anda com os vestidos soltos	 Que anda com os vestidos soltos 	
lexicalSense:n31568.sg01.s01		Apul.			Investigaçaõ	 Investigaçaõ , inquiriçaõ , busca 	
lexicalSense:n31569.sg01.s01		Varr.			Caçador	 Caçador 	
lexicalSense:n31569.sg01.s02		Sen.			Rastejador	 Rastejador , o que busca pelo rasto 	
lexicalSense:n31570.sg01.s01		Cic.			Vestigio	 Vestigio , pizada , rasto , pêgada 	
lexicalSense:n31570.sg01.s02					Marca	 Marca , indicio , signal que resta 	
lexicalSense:n31570.sg01.s99	usageExample:n31570.sg01.s99.u01, usageExample:n31570.sg01.s99.u02, usageExample:n31570.sg01.s99.u03, usageExample:n31570.sg01.s99.u04, usageExample:n31570.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31571.sg01.s01		Cic.			Investigar	 Investigar , buscar , indagar , procurar pelo rasto , ou com muito cuidado 	
lexicalSense:n31572.sg01.s01		Cic.			Vestido	 Vestido 	
lexicalSense:n31573.sg01.s01		Cic.			Vestir	 Vestir 	
lexicalSense:n31573.sg01.s02					Revestir	 Revestir , cobrir , guarnecer 	
lexicalSense:n31574.sg01.s01		Quinct. Declam.			Criada	 Criada , que dobra , e guarda os vestidos 	
lexicalSense:n31575.sg01.s01		Cic.			Vestido	 Vestido 	
lexicalSense:n31575.sg01.s02		Lucr.			Penugem da barba	 Penugem da barba 	
lexicalSense:n31575.sg01.s99	usageExample:n31575.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31576.sg01.s01		Afran. apud Non.			Criada	 Criada , que guarda os vestidos 	
lexicalSense:n31577.sg01.s01		* Plaut.			Criado	 Criado , que guarda os vestidos 	
lexicalSense:n31579.sg01.s01		Cic.			Vestido	 Vestido 	
lexicalSense:n31579.sg01.s02					Cobertura	 Cobertura 	
lexicalSense:n31579.sg01.s03					Ornato	 Ornato 	
lexicalSense:n31580.sg01.s01		Stat. Theb. l. 3.			Prohibido	 Prohibido 	
lexicalSense:n31581.sg01.s01		Enn. apud Priscian.			Velho	 Velho , antigo 	
lexicalSense:n31582.sg01.s01		(sutor) Suet.			Remendáõ	 Remendáõ , çapateiro , que concerta çapatos 	
lexicalSense:n31583.sg01.s01		* Sen.			Adega	 Adega , celleiro , lugar em que se guarda alguma cousa que se quer conservar largo tempo 	
lexicalSense:n31584.sg01.s01		(sc. milites) Cic.			Soldados veteranos	 Soldados veteranos 	
lexicalSense:n31584.sg01.s02					Os que serviraõ o legitimo tempo	 Os que serviraõ o legitimo tempo , e depois se aposentaraõ 	
lexicalSense:n31585.sg01.s01		Liv.			Velho	 Velho , antigo 	
lexicalSense:n31587.sg01.s01		Cels.			Inveterar-se	 Inveterar - se , envelhecer - se 	
lexicalSense:n31588.sg01.s01		Cic.			Homem experimentado	 Homem experimentado , astuto , sagás 	Toma-se em boa, e em má parte.
lexicalSense:n31588.sg01.s02		Ulp.			Escravo velho	 Escravo velho , que tem servido muitos senhores , e por isto malicioso 	
lexicalSense:n31589.sg01.s01		Cic.			Astutamente	 Astutamente , sagásmente 	
lexicalSense:n31590.sg01.s01		Cic.			Astuto	 Astuto , sagás , malicioso 	
lexicalSense:n31591.sg01.s01		Apul.			Mulher astuta	 Mulher astuta 	
lexicalSense:n31592.sg01.s01		Scrib. Larg.			Inveterado	 Inveterado , envelhecido 	
lexicalSense:n31593.sg01.s01		Cic.			Os antigos a antiguidade	 Os antigos a antiguidade 	
lexicalSense:n31594.sg01.s01		Col.			Azemel	 Azemel , arrieiro , almocreve 	
lexicalSense:n31594.sg01.s02					Alveitar	 Alveitar 	
lexicalSense:n31595.sg01.s01		Col.			Pertencente á alveitaria	 Pertencente á alveitaria , ou ás bestas de carga 	
lexicalSense:n31596.sg01.s01		Lucr.			De besta de carga	 De besta de carga , de carga 	
lexicalSense:n31596.sg01.s02		Plin.			Proprio para andar com carga	 Proprio para andar com carga 	
lexicalSense:n31597.sg01.s01		Plin.			Amadorrado	 Amadorrado , que padece lethargo 	
lexicalSense:n31597.sg01.s02		Ter.			Muito vagaroso	 Muito vagaroso , torpego 	
lexicalSense:n31598.sg01.s01		Plaut.			Lethargo	 Lethargo , modorra 	
lexicalSense:n31598.sg01.s02		Plin.			Somnolencia	 Somnolencia , excessivo dormir 	
lexicalSense:n31598.sg01.s03		Cic.			Preguiça	 Preguiça , molleza , froxidaõ , inercia 	
lexicalSense:n31599.sg01.s01		Virg.			Cousa prohibida	 Cousa prohibida , o vedado 	
lexicalSense:n31601.sg01.s01		Cic.			Vedar	 Vedar , prohibir 	
lexicalSense:n31602.sg01.s01		Plin.			Velhinha	 Velhinha 	
lexicalSense:n31603.sg01.s01		Cic.			Algum tanto velho	 Algum tanto velho 	
lexicalSense:n31604.sg01.s01		Cic.			Velhinho	 Velhinho 	
lexicalSense:n31605.sg01.s01		Cic.			Velho	 Velho , antigo 	
lexicalSense:n31605.sg01.s02		Nep.			Antepassado	 Antepassado , succedido pouco antes 	
lexicalSense:n31605.sg01.s99	usageExample:n31605.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31606.sg01.s01		Cic.			Antiguidade	 Antiguidade , velhice , ancianidade 	
lexicalSense:n31606.sg01.s02					Amizade	 Amizade , communicaçaõ antiga 	
lexicalSense:n31606.sg01.s99	usageExample:n31606.sg01.s99.u01, usageExample:n31606.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31607.sg01.s01		Asc. Ped.			Á antiga	 Á antiga , á maneira dos antigos 	
lexicalSense:n31607.sg01.s02		Plin. no superl.			Por muito tempo	 Por muito tempo 	
lexicalSense:n31608.sg01.s01		Col.			[Envelhecer-se.]	 [ Envelhecer - se . ] 	
lexicalSense:n31609.sg01.s01		Nigid. apud Non.			Envelhecer-se	 Envelhecer - se 	
lexicalSense:n31610.sg01.s01		Cic.			Antigo	 Antigo , velho 	
lexicalSense:n31611.sg01.s01		Lucr.			Movimento	 Movimento , abalo , concussaõ 	
lexicalSense:n31612.sg01.s01		Cic.			Vexame	 Vexame , afflicçaõ , tormento , oppressaõ 	
lexicalSense:n31613.sg01.s01		Cic.			Vexador	 Vexador , perseguidor 	
lexicalSense:n31614.sg01.s01		Cic.			Vexado	 Vexado , perseguido , atropelado , opprimido 	
lexicalSense:n31615.sg01.s01		Liv.			Alferes	 Alferes , o que traz o estendarte , ou guiaõ de huma companhia 	
lexicalSense:n31615.sg01.s02		Tac. no plur.			Certos soldados que pelejavaõ em corpo separado	 Certos soldados que pelejavaõ em corpo separado , e com bandeira propria 	
lexicalSense:n31616.sg01.s01		Suet.			Companhia	 Companhia , que está debaixo de huma bandeira 	
lexicalSense:n31617.sg01.s01		Tac.			Bandeira	 Bandeira , estendarte , guiaõ militar 	
lexicalSense:n31617.sg01.s02		Stat.			Esquadra	 Esquadra , companhia de soldados debaixo de huma bandeira 	
lexicalSense:n31618.sg01.s01		Cic.			Vexar	 Vexar , molestar , affligir 	
lexicalSense:n31618.sg01.s99	usageExample:n31618.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31619.sg01.s01		Cic.			Caminho	 Caminho , rua , estrada 	
lexicalSense:n31619.sg01.s02					Viagem	 Viagem 	
lexicalSense:n31619.sg01.s03					Modo	 Modo , meio de fazer alguma cousa 	
lexicalSense:n31619.sg01.s04					Methodo	 Methodo , orde de escrever , ou de fallar 	
lexicalSense:n31619.sg01.s99	usageExample:n31619.sg01.s99.u01, usageExample:n31619.sg01.s99.u02, usageExample:n31619.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31620.sg01.s01		Plaut.			Pertencente ao caminho	 Pertencente ao caminho 	
lexicalSense:n31621.sg01.s01		Apul.			Caminhante	 Caminhante 	
lexicalSense:n31622.sg01.s01		Cael. ad Cic.			Pertencente ao caminho	 Pertencente ao caminho 	
lexicalSense:n31623.sg01.s01		Plaut.			Provido para o caminho	 Provido para o caminho 	
lexicalSense:n31624.sg01.s01		Ulp.			Pequeno viatico	 Pequeno viatico 	
lexicalSense:n31625.sg01.s01		Cic.			Viatico	 Viatico , alforje , matalotagem , provisaõ do preciso para a jornada 	
lexicalSense:n31626.sg01.s01		Plaut.			Que serve para a jornada	 Que serve para a jornada 	
lexicalSense:n31627.sg01.s01		Cic.			O que faz jornada	 O que faz jornada , caminhante 	
lexicalSense:n31627.sg01.s02		Liv.			Postilhaõ	 Postilhaõ , caminheiro , correio dos Magistrados 	
lexicalSense:n31628.sg01.s01		Plin.			De viagem	 De viagem , pertencente ao caminho 	
lexicalSense:n31629.sg01.s01		Varr.			Vergaõ	 Vergaõ , sinal , pizadura do açoute 	
lexicalSense:n31630.sg01.s01		Plin.			Flores da herva Britannica	 Flores da herva Britannica 	
lexicalSense:n31631.sg01.s01		Apul.			Acçaõ de btandir	 Acçaõ de btandir 	
lexicalSense:n31632.sg01.s99	usageExample:n31632.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31633.sg01.s01		Ovid.			Tremer	 Tremer 	
lexicalSense:n31633.sg01.s02		Cic.			Brandir	 Brandir , mancar , fazer tremer 	
lexicalSense:n31633.sg01.s03					Brilhar	 Brilhar , resplandecer com luz tremula 	
lexicalSense:n31634.sg01.s01		Virg.			Vime	 Vime 	
lexicalSense:n31635.sg01.s01		Liv.			Aldeões	 Aldeões , paizanos , moradores de huma villa , ou aldêa 	
lexicalSense:n31636.sg01.s01		Cic.			Que faz as vezes de outro	 Que faz as vezes de outro 	
lexicalSense:n31637.sg01.s01		Cic.			Substituto	 Substituto , o que serve por outro 	
lexicalSense:n31637.sg01.s02		Mart.			Escravo	 Escravo , que estava sujeito a outro escravo 	
lexicalSense:n31638.sg01.s01		Cic.			Pelos bairros da Cidade	 Pelos bairros da Cidade 	
lexicalSense:n31638.sg01.s02		Plin.			Pelas aldêas	 Pelas aldêas , ou villas 	
lexicalSense:n31639.sg01.s01		Plaut.			De vinte	 De vinte , que contém vinte 	
lexicalSense:n31640.sg01.s01		Liv.			Vinte	 Vinte 	
lexicalSense:n31641.sg01.s01		Cic.			Vintena	 Vintena , tributo de cada vinte hum 	
lexicalSense:n31642.sg01.s01		Tac.			Soldados da vigesima legiaõ	 Soldados da vigesima legiaõ 	
lexicalSense:n31643.sg01.s01		Liv.			Pertencente á vintena	 Pertencente á vintena , ou ao tributo de cada vinte hum 	
lexicalSense:n31644.sg01.s01		Cic.			Vigesimo	 Vigesimo , hum , ou ultimo de vinte 	
lexicalSense:n31645.sg01.s01		Varr.			Ervilha	 Ervilha , legume 	
lexicalSense:n31645.sg01.s02		Scrib. Larg.			Certo pezo	 Certo pezo , ou medida 	
lexicalSense:n31646.sg01.s01		* Col.			Lugar idoneo para semear ervilhas	 Lugar idoneo para semear ervilhas , ou ervilhal 	
lexicalSense:n31647.sg01.s01		Col.			Pertencente ás ervilhas	 Pertencente ás ervilhas 	
lexicalSense:n31648.sg01.s01		Cic.			Vinte vezes	 Vinte vezes 	
lexicalSense:n31649.sg01.s01		Liv.			Pertencente á visinhança	 Pertencente á visinhança 	
lexicalSense:n31650.sg01.s01		Cic.			Visinhança	 Visinhança , proximidade 	
lexicalSense:n31650.sg01.s02		Hor.			Visinho	 Visinho 	
lexicalSense:n31650.sg01.s03		Plin.			Similhança	 Similhança , parecença 	
lexicalSense:n31651.sg01.s01		Ter.			Visinhança	 Visinhança 	
lexicalSense:n31651.sg01.s02		Plin.			Proximidade de lugares	 Proximidade de lugares 	
lexicalSense:n31651.sg01.s03		Cic.			Multidaõ de visinhos	 Multidaõ de visinhos 	
lexicalSense:n31652.sg01.s01		* Sen.			Visinhança	 Visinhança 	
lexicalSense:n31653.sg01.s01		Cic.			Proximo	 Proximo , visinho , propinquo , chegado 	
lexicalSense:n31653.sg01.s02					Semelhante	 Semelhante 	
lexicalSense:n31653.sg01.s99	usageExample:n31653.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31654.sg01.s01		Cic.			Visinho	 Visinho 	
lexicalSense:n31655.sg01.s01					Alternativa	 Alternativa , successaõ das cousas 	
lexicalSense:n31655.sg01.s02					Sorte	 Sorte , destino , condiçaõ , estado 	
lexicalSense:n31655.sg01.s03					Lugar	 Lugar , funçaõ , emprego , cargo 	
lexicalSense:n31655.sg01.s04		Plin.			Recompensa	 Recompensa , retribuiçaõ 	
lexicalSense:n31655.sg01.s05		Virg.			Perigo	 Perigo , peleja 	
lexicalSense:n31655.sg01.s06		Cic.			Incommodo	 Incommodo , damno 	
lexicalSense:n31655.sg01.s99	usageExample:n31655.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31656.sg01.s01		Plaut.			[Alternadamente	 [ Alternadamente , revezadamente . ] 	
lexicalSense:n31657.sg01.s01		Cic.			Alternadamente	 Alternadamente , revezadamente 	
lexicalSense:n31657.sg01.s02					Em segundo lugar	 Em segundo lugar , similhantemente , da outra parte 	
lexicalSense:n31658.sg01.s01		Acc. apud Non.			[Alternativa	 [ Alternativa , revezedura , mudança . ] 	
lexicalSense:n31659.sg01.s01		Cic.			Alternativa	 Alternativa , revezedura , mudança 	
lexicalSense:n31659.sg01.s02					Correspondencia	 Correspondencia 	
lexicalSense:n31660.sg01.s01		Ovid.			Victima	 Victima , animal destinado aos sacrificios 	
lexicalSense:n31661.sg01.s01		Liv.			Sacerdote	 Sacerdote , ministro do sacrificio 	
lexicalSense:n31662.sg01.s01		Apul.			Sacrificar	 Sacrificar , matar a victima 	
lexicalSense:n31663.sg01.s01		Ter.			[Sustentar-se	 [ Sustentar - se , alimentar - se , manter - se . ] 	
lexicalSense:n31664.sg01.s01		* Plaut.			Sustentar-se	 Sustentar - se , alimentar - se , manter - se 	
lexicalSense:n31665.sg01.s01		Cic.			Victorioso	 Victorioso , vencedor 	
lexicalSense:n31666.sg01.s01		Cic.			Victoria	 Victoria 	
lexicalSense:n31667.sg01.s01		Cic.			Certa moeda dos Romanos	 Certa moeda dos Romanos 	
lexicalSense:n31668.sg01.s01		Cat. apud Gell.			Costumado a vencer	 Costumado a vencer , que tem alcançado muitas victorias 	
lexicalSense:n31669.sg01.s01		Cic.			Vencedora	 Vencedora 	
lexicalSense:n31669.sg10.s01		Virg.			Victorioso	 Victorioso 	
lexicalSense:n31670.sg01.s01		Apul.			Pertencente ao alimento	 Pertencente ao alimento 	
lexicalSense:n31671.sg01.s01		Plaut.			[Sustento	 [ Sustento , alimento . ] 	
lexicalSense:n31672.sg01.s01		Cic.			Sustento	 Sustento , alimento 	
lexicalSense:n31672.sg01.s02		Nep.			Modo de vida	 Modo de vida 	
lexicalSense:n31675.sg01.s01		Cic.			Aldêa	 Aldêa , villa 	
lexicalSense:n31675.sg01.s02		Suet.			Bairro da Cidade	 Bairro da Cidade 	
lexicalSense:n31676.sg01.s01		Ter.			Certamente	 Certamente , na verdade , convem a saber 	
lexicalSense:n31678.sg01.s01		Cic.			Ver	 Ver 	
lexicalSense:n31678.sg01.s02					Examinar	 Examinar , considerar , ponderar , reflectir 	
lexicalSense:n31678.sg01.s99	usageExample:n31678.sg01.s99.u01, usageExample:n31678.sg01.s99.u02, usageExample:n31678.sg01.s99.u03, usageExample:n31678.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31679.sg01.s01		pass. Virg.			Ser visto	 Ser visto 	
lexicalSense:n31680.sg01.s01		[pass.] Cic.			Parecer	 Parecer 	
lexicalSense:n31680.sg01.s02					Achar bom	 Achar bom , crer a proposito 	
lexicalSense:n31682.sg01.s01		(sc. femina) Hor.			Viuva	 Viuva 	
lexicalSense:n31682.sg01.s02		Liv.			Solteira	 Solteira , donzella 	
lexicalSense:n31684.sg01.s01		Cat.			Calamidade	 Calamidade , miseria 	
lexicalSense:n31685.sg01.s01		Cic.			Viuvês	 Viuvês , estado de viuva 	
lexicalSense:n31685.sg01.s02		Plaut.			Privaçaõ	 Privaçaõ , perda , falta 	
lexicalSense:n31686.sg01.s01		Plin.			Bolça de couro de caminhante	 Bolça de couro de caminhante 	
lexicalSense:n31687.sg01.s01		Virg.			Privar	 Privar 	
lexicalSense:n31688.sg01.s01		Ovid.			Viuvo	 Viuvo , de viuva 	
lexicalSense:n31688.sg01.s02		Hor.			Privado	 Privado , carecedor , falto 	
lexicalSense:n31689.sg01.s01		Varr.			Atar	 Atar , ligar com vime 	
lexicalSense:n31690.sg01.s01		Ulp.			Tanoeiro	 Tanoeiro , o que faz , ou concerta pipas 	
lexicalSense:n31691.sg01.s01		Cic.			Languido	 Languido , froxo , sem vigor 	
lexicalSense:n31692.sg01.s01		Cic.			Ter vigor	 Ter vigor , poder , florecer 	
lexicalSense:n31693.sg01.s01		Catul.			Principiar a ter vigor	 Principiar a ter vigor 	
lexicalSense:n31694.sg01.s01		Apul.			Vintes vezes	 Vintes vezes 	
lexicalSense:n31695.sg01.s01		Col.			Vinte	 Vinte 	
lexicalSense:n31697.sg01.s01		Mart.			Moeda de vinte asses	 Moeda de vinte asses 	
lexicalSense:n31698.sg01.s01		Virg.			Que vigia	 Que vigia , que está acordado 	
lexicalSense:n31698.sg01.s02		Ovid.			Que faz vigiar	 Que faz vigiar 	
lexicalSense:n31698.sg01.s99	usageExample:n31698.sg01.s99.u01, usageExample:n31698.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n31699.sg01.s01		Varr. in fragm. Sat. Menipp.			Acordado	 Acordado , desperto 	
lexicalSense:n31700.sg01.s01		Cic.			Vigilantemente	 Vigilantemente , attentamente , com diligencia 	
lexicalSense:n31701.sg01.s01		Sen.			Lugar de sentinella	 Lugar de sentinella 	
lexicalSense:n31702.sg01.s01		Gell.			Com vigilancia	 Com vigilancia 	
lexicalSense:n31704.sg01.s01		Ovid.			Que vigia quasi sempre	 Que vigia quasi sempre , ou sagásmente 	
lexicalSense:n31705.sg01.s01		Cic.			Guardas	 Guardas , sentinellas , ronda nocturna 	
lexicalSense:n31706.sg01.s01		Cic.			Vigia	 Vigia , acçaõ de vigiar , ou de naõ dormir 	
lexicalSense:n31706.sg01.s02					Sentinella	 Sentinella , vigia 	Os Romanos dividiaõ a noite em quatro vigias militares.
lexicalSense:n31706.sg01.s03					Guarda	 Guarda , sentinella 	
lexicalSense:n31706.sg01.s04		Plaut. no plur.			Sacrificios nocturnos em honra de Ceres	 Sacrificios nocturnos em honra de Ceres 	
lexicalSense:n31706.sg01.s05		Cic. no sing.			Cuidado	 Cuidado , cargo 	
lexicalSense:n31707.sg01.s01		Varr. apud Non.			Vigilia	 Vigilia , acçaõ de passar sem dormir 	
lexicalSense:n31708.sg01.s01		Cic.			Vigiar	 Vigiar , velar , estar álerta , ou sem dormir 	
lexicalSense:n31708.sg01.s02					Prever	 Prever , applicar diligencia 	
