lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n16442.e10_comp	Fonseca’s subentry for '[Juxta]'		lexicalEntry:n16442.e10	
lexicogComponent:n16456.e02_comp	Fonseca’s subentry for '[Labellum]'		lexicalEntry:n16456.e02	
lexicogComponent:n16476.e02_comp	Fonseca’s subentry for '[Labrum]'		lexicalEntry:n16476.e02	
lexicogComponent:n16493.e02_comp	Fonseca’s subentry for '[Lacertus]'		lexicalEntry:n16493.e02	
lexicogComponent:n16526.e02_comp	Fonseca’s subentry for '[Lacto]'		lexicalEntry:n16526.e02	
lexicogComponent:n16538.e02_comp	Fonseca’s subentry for 'Ladum'	l.	lexicalEntry:n16538.e02	
lexicogComponent:n16673.e02_comp	Fonseca’s subentry for 'Laqueatus'		lexicalEntry:n16673.e02	
lexicogComponent:n16674.e02_comp	Fonseca’s subentry for '[Laqueo]'		lexicalEntry:n16674.e02	
lexicogComponent:n16783.e02_comp	Fonseca’s subentry for '[Lauda]tissime'	e	lexicalEntry:n16783.e02	
lexicogComponent:n16852.e02_comp	Fonseca’s subentry for 'Legativum'	l.	lexicalEntry:n16852.e02	
lexicogComponent:n16921.e02_comp	Fonseca’s subentry for '[Lenunculus]'		lexicalEntry:n16921.e02	
lexicogComponent:n16997.e02_comp	Fonseca’s subentry for 'Levi'		lexicalEntry:n16997.e02	
lexicogComponent:n17025.e02_comp	Fonseca’s subentry for 'Libanochros'	l.	lexicalEntry:n17025.e02	
lexicogComponent:n17311.e02_comp	Fonseca’s subentry for 'Loca'	l.	lexicalEntry:n17311.e02	
lexicogComponent:n17333.e02_comp	Fonseca’s subentry for 'Longabo'	l.	lexicalEntry:n17333.e02	
lexicogComponent:n17333.e03_comp	Fonseca’s subentry for 'Longanon'	l.	lexicalEntry:n17333.e03	
lexicogComponent:n17534.e02_comp	Fonseca’s subentry for '[Lustrum]'		lexicalEntry:n17534.e02	
lexicogComponent:n17932.e02_comp	Fonseca’s subentry for 'Mataris'	&	lexicalEntry:n17932.e02	
lexicogComponent:n18069.e02_comp	Fonseca’s subentry for 'Meliceris'	l.	lexicalEntry:n18069.e02	
lexicogComponent:n18270.e02_comp	Fonseca’s subentry for 'Meon'	l.	lexicalEntry:n18270.e02	
lexicogComponent:n18303.e02_comp	Fonseca’s subentry for 'Millus'	&	lexicalEntry:n18303.e02	
lexicogComponent:n18442.e02_comp	Fonseca’s subentry for 'Mithras'	l.	lexicalEntry:n18442.e02	
lexicogComponent:n18529.e02_comp	Fonseca’s subentry for 'Molendinarius'	l.	lexicalEntry:n18529.e02	
lexicogComponent:n18569.e02_comp	Fonseca’s subentry for 'Molorthus'	l.	lexicalEntry:n18569.e02	
lexicogComponent:n18723.e02_comp	Fonseca’s subentry for 'Mulcto'		lexicalEntry:n18723.e02	
lexicogComponent:n18746.e02_comp	Fonseca’s subentry for '[Mulsi]'	e	lexicalEntry:n18746.e02	
lexicogComponent:n19000.e02_comp	Fonseca’s subentry for 'Myxus'	l.	lexicalEntry:n19000.e02	
lexicogComponent:n19023.e02_comp	Fonseca’s subentry for 'Narica'	l.	lexicalEntry:n19023.e02	
lexicogComponent:n19122.e02_comp	Fonseca’s subentry for '[Ne]'		lexicalEntry:n19122.e02	
lexicogComponent:n19336.e02_comp	Fonseca’s subentry for 'Nivo'	l.	lexicalEntry:n19336.e02	
lexicogComponent:n19526.e02_comp	Fonseca’s subentry for 'Nugipililoquides'	l.	lexicalEntry:n19526.e02	
lexicogComponent:n19526.e03_comp	Fonseca’s subentry for 'Nugidoloquides'	l.	lexicalEntry:n19526.e03	
lexicogComponent:n19527.e02_comp	Fonseca’s subentry for 'Nugivendulus'	l.	lexicalEntry:n19527.e02	
lexicogComponent:n19855.e02_comp	Fonseca’s subentry for '[Obsidium]'		lexicalEntry:n19855.e02	
lexicogComponent:n19869.e02_comp	Fonseca’s subentry for '[Obsoletus]'		lexicalEntry:n19869.e02	
lexicogComponent:n20094.e02_comp	Fonseca’s subentry for 'Ocliferia'	l.	lexicalEntry:n20094.e02	
lexicogComponent:n20202.e02_comp	Fonseca’s subentry for '[Oletum]'		lexicalEntry:n20202.e02	
lexicogComponent:n20286.e03_comp	Fonseca’s subentry for 'Onochelos'	l.	lexicalEntry:n20286.e03	
lexicogComponent:n20374.e02_comp	Fonseca’s subentry for 'Opopanax'	l.	lexicalEntry:n20374.e02	
lexicogComponent:n20444.e02_comp	Fonseca’s subentry for 'Optumus'		lexicalEntry:n20444.e02	
lexicogComponent:n20458.e10_comp	Fonseca’s subentry for 'Ora'		lexicalEntry:n20458.e10	
lexicogComponent:n20488.e10_comp	Fonseca’s subentry for 'Orca'		lexicalEntry:n20488.e10	
lexicogComponent:n20492.e02_comp	Fonseca’s subentry for 'Orchitis'	l.	lexicalEntry:n20492.e02	
lexicogComponent:n20589.e02_comp	Fonseca’s subentry for '[Osculatus]'		lexicalEntry:n20589.e02	
lexicogComponent:n20666.e02_comp	Fonseca’s subentry for 'Oxygalum'	l.	lexicalEntry:n20666.e02	
lexicogComponent:n20718.e02_comp	Fonseca’s subentry for 'Paenula'		lexicalEntry:n20718.e02	
lexicogComponent:n20744.e10_comp	Fonseca’s subentry for '[Palam]'		lexicalEntry:n20744.e10	
lexicogComponent:n20815.e02_comp	Fonseca’s subentry for 'Palpus'	l.	lexicalEntry:n20815.e02	
lexicogComponent:n20885.e10_comp	Fonseca’s subentry for 'Panthera'		lexicalEntry:n20885.e10	
lexicogComponent:n20896.e02_comp	Fonseca’s subentry for '[Papaver]'		lexicalEntry:n20896.e02	
lexicogComponent:n21269.e02_comp	Fonseca’s subentry for '[Pediculus]'		lexicalEntry:n21269.e02	
lexicogComponent:n21394.e02_comp	Fonseca’s subentry for '[Pependi]'	e	lexicalEntry:n21394.e02	
lexicogComponent:n21700.e02_comp	Fonseca’s subentry for '[Perfrictio]'		lexicalEntry:n21700.e02	
lexicogComponent:n21855.e02_comp	Fonseca’s subentry for 'Perlucidus'		lexicalEntry:n21855.e02	
lexicogComponent:n22124.e03_comp	Fonseca’s subentry for 'Personata'	l.	lexicalEntry:n22124.e03	
lexicogComponent:n22357.e02_comp	Fonseca’s subentry for 'Peucedanus'	l.	lexicalEntry:n22357.e02	
lexicogComponent:n22548.e10_comp	Fonseca’s subentry for 'Pila'		lexicalEntry:n22548.e10	
lexicogComponent:n22555.e02_comp	Fonseca’s subentry for '[Pilatus]'		lexicalEntry:n22555.e02	
lexicogComponent:n22567.e02_comp	Fonseca’s subentry for 'Pilum'		lexicalEntry:n22567.e02	
lexicogComponent:n22588.e02_comp	Fonseca’s subentry for '[Pinna]'		lexicalEntry:n22588.e02	
lexicogComponent:n22609.e02_comp	Fonseca’s subentry for 'Pipio'	l.	lexicalEntry:n22609.e02	
lexicogComponent:n22630.e02_comp	Fonseca’s subentry for 'Piscinula'	&	lexicalEntry:n22630.e02	
lexicogComponent:n22725.e02_comp	Fonseca’s subentry for '[Planta]'		lexicalEntry:n22725.e02	
lexicogComponent:n22788.e02_comp	Fonseca’s subentry for 'Plinthium'	l.	lexicalEntry:n22788.e02	
lexicogComponent:n22879.e02_comp	Fonseca’s subentry for 'Pogonias'	l.	lexicalEntry:n22879.e02	
lexicogComponent:n22884.e02_comp	Fonseca’s subentry for '[Polia]'		lexicalEntry:n22884.e02	
lexicogComponent:n22975.e10_comp	Fonseca’s subentry for '[Pone]'		lexicalEntry:n22975.e10	
lexicogComponent:n23026.e02_comp	Fonseca’s subentry for '[Porca]'		lexicalEntry:n23026.e02	
lexicogComponent:n23038.e02_comp	Fonseca’s subentry for 'Porculus'		lexicalEntry:n23038.e02	
lexicogComponent:n23103.e10_comp	Fonseca’s subentry for '[Post]'		lexicalEntry:n23103.e10	
lexicogComponent:n23162.e02_comp	Fonseca’s subentry for 'Potamogiton'	l.	lexicalEntry:n23162.e02	
lexicogComponent:n24017.e02_comp	Fonseca’s subentry for '[Profano]'		lexicalEntry:n24017.e02	
lexicogComponent:n24175.e02_comp	Fonseca’s subentry for 'Promtus'	l.	lexicalEntry:n24175.e02	
lexicogComponent:n24202.e02_comp	Fonseca’s subentry for 'Pronuncio'	l.	lexicalEntry:n24202.e02	
lexicogComponent:n24686.e02_comp	Fonseca’s subentry for '[Punior]'		lexicalEntry:n24686.e02	
lexicogComponent:n24805.e02_comp	Fonseca’s subentry for 'Pythaules'	l.	lexicalEntry:n24805.e02	
lexicogComponent:n24935.e02_comp	Fonseca’s subentry for '[Quandoque]'		lexicalEntry:n24935.e02	
lexicogComponent:n24961.e02_comp	Fonseca’s subentry for 'Quartadecumani'	l.	lexicalEntry:n24961.e02	
lexicogComponent:n25103.e02_comp	Fonseca’s subentry for 'qui'	l.	lexicalEntry:n25103.e02	
lexicogComponent:n25104.e02_comp	Fonseca’s subentry for 'quinam'	l.	lexicalEntry:n25104.e02	
lexicogComponent:n25155.e02_comp	Fonseca’s subentry for 'Qum'		lexicalEntry:n25155.e02	
lexicogComponent:n25832.e02_comp	Fonseca’s subentry for 'Reprensus'		lexicalEntry:n25832.e02	
lexicogComponent:n25968.e10_comp	Fonseca’s subentry for 'Restauro'		lexicalEntry:n25968.e10	
lexicogComponent:n25979.e02_comp	Fonseca’s subentry for '[Restiti]'	e	lexicalEntry:n25979.e02	
lexicogComponent:n26173.e02_comp	Fonseca’s subentry for 'Rhoeas'	l.	lexicalEntry:n26173.e02	
lexicogComponent:n26263.e02_comp	Fonseca’s subentry for 'Romaniensis'	l.	lexicalEntry:n26263.e02	
lexicogComponent:n26339.e02_comp	Fonseca’s subentry for 'Rudectus'	l.	lexicalEntry:n26339.e02	
lexicogComponent:n26375.e02_comp	Fonseca’s subentry for '[Rumex]'		lexicalEntry:n26375.e02	
lexicogComponent:n26376.e02_comp	Fonseca’s subentry for 'Rumifico'	l.	lexicalEntry:n26376.e02	
lexicogComponent:n26416.e02_comp	Fonseca’s subentry for 'Ruscum'	l.	lexicalEntry:n26416.e02	
lexicogComponent:n26597.e02_comp	Fonseca’s subentry for 'Sallo'		lexicalEntry:n26597.e02	
lexicogComponent:n26696.e02_comp	Fonseca’s subentry for 'Sandaresus'	l.	lexicalEntry:n26696.e02	
lexicogComponent:n26765.e02_comp	Fonseca’s subentry for 'Sardinia'	l.	lexicalEntry:n26765.e02	
lexicogComponent:n26784.e02_comp	Fonseca’s subentry for '[Sartura]'		lexicalEntry:n26784.e02	
lexicogComponent:n26859.e02_comp	Fonseca’s subentry for 'Scabillum'	&	lexicalEntry:n26859.e02	
lexicogComponent:n26987.e02_comp	Fonseca’s subentry for '[Scirpicula]'		lexicalEntry:n26987.e02	
lexicogComponent:n26994.e02_comp	Fonseca’s subentry for 'Scirus'	l.	lexicalEntry:n26994.e02	
lexicogComponent:n27109.e02_comp	Fonseca’s subentry for '[Scutula]'		lexicalEntry:n27109.e02	
lexicogComponent:n27231.e02_comp	Fonseca’s subentry for 'Segrex'	l.	lexicalEntry:n27231.e02	
lexicogComponent:n27539.e02_comp	Fonseca’s subentry for '[Seresco]'		lexicalEntry:n27539.e02	
lexicogComponent:n27540.e02_comp	Fonseca’s subentry for 'Sergiana'	&	lexicalEntry:n27540.e02	
lexicogComponent:n27686.e02_comp	Fonseca’s subentry for 'Sexdecim'		lexicalEntry:n27686.e02	
lexicogComponent:n27731.e02_comp	Fonseca’s subentry for 'Sicilissito'	l.	lexicalEntry:n27731.e02	
lexicogComponent:n27891.e10_comp	Fonseca’s subentry for 'Sinum'	l.	lexicalEntry:n27891.e10	
lexicogComponent:n28001.e10_comp	Fonseca’s subentry for '[Solatus]'		lexicalEntry:n28001.e10	
lexicogComponent:n28188.e02_comp	Fonseca’s subentry for '[Sparus]'		lexicalEntry:n28188.e02	
lexicogComponent:n28294.e02_comp	Fonseca’s subentry for 'Spinther'	l.	lexicalEntry:n28294.e02	
lexicogComponent:n28474.e02_comp	Fonseca’s subentry for '[Stator]'		lexicalEntry:n28474.e02	
