lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n08534.e02_comp	Cardoso’s subentry for 'infundibulum'	vel	lexicalEntry:n08534.e02	
lexicogComponent:n08568.e02_comp	Cardoso’s subentry for 'furcilla'	siue	lexicalEntry:n08568.e02	
lexicogComponent:n08594.e10_comp	Cardoso’s subentry for 'Furunculus'		lexicalEntry:n08594.e10	
lexicogComponent:n08651.e02_comp	Cardoso’s subentry for 'ganea'	siue	lexicalEntry:n08651.e02	
lexicogComponent:n08681.e02_comp	Cardoso’s subentry for 'gelasco'	vel	lexicalEntry:n08681.e02	
lexicogComponent:n08780.e02_comp	Cardoso’s subentry for 'gibosus'		lexicalEntry:n08780.e02	
lexicogComponent:n08860.e02_comp	Cardoso’s subentry for 'glotio'	siue	lexicalEntry:n08860.e02	
lexicogComponent:n08898.e02_comp	Cardoso’s subentry for 'gobio'	siue	lexicalEntry:n08898.e02	
lexicogComponent:n09015.e02_comp	Cardoso’s subentry for 'gryps'	siue	lexicalEntry:n09015.e02	
lexicogComponent:n09103.e02_comp	Cardoso’s subentry for 'halec'	vel	lexicalEntry:n09103.e02	
lexicogComponent:n09146.e02_comp	Cardoso’s subentry for 'hebesco'	siue	lexicalEntry:n09146.e02	
lexicogComponent:n09160.e02_comp	Cardoso’s subentry for 'helleborus'	vel	lexicalEntry:n09160.e02	
lexicogComponent:n09172.e02_comp	Cardoso’s subentry for 'herbesco'	siue	lexicalEntry:n09172.e02	
lexicogComponent:n09225.e02_comp	Cardoso’s subentry for 'hilarus'	siue	lexicalEntry:n09225.e02	
lexicogComponent:n09276.e02_comp	Cardoso’s subentry for 'Histrionica'	vel	lexicalEntry:n09276.e02	
lexicogComponent:n09315.e02_comp	Cardoso’s subentry for 'honoratus'	siue	lexicalEntry:n09315.e02	
lexicogComponent:n09329.e02_comp	Cardoso’s subentry for 'Horresco'	vel	lexicalEntry:n09329.e02	
lexicogComponent:n09340.e02_comp	Cardoso’s subentry for 'Horride'	siue	lexicalEntry:n09340.e02	
lexicogComponent:n09344.e02_comp	Cardoso’s subentry for 'Hortatio'	siue	lexicalEntry:n09344.e02	
lexicogComponent:n09370.e02_comp	Cardoso’s subentry for 'hosticus'	vel	lexicalEntry:n09370.e02	
lexicogComponent:n09389.e02_comp	Cardoso’s subentry for 'humaniter'	siue	lexicalEntry:n09389.e02	
lexicogComponent:n09395.e02_comp	Cardoso’s subentry for 'humesco'	siue	lexicalEntry:n09395.e02	
lexicogComponent:n09473.e02_comp	Cardoso’s subentry for 'iecinus'	siue	lexicalEntry:n09473.e02	
lexicogComponent:n09487.e02_comp	Cardoso’s subentry for 'ignaue'	siue	lexicalEntry:n09487.e02	
lexicogComponent:n09488.e02_comp	Cardoso’s subentry for 'ignesco'	siue	lexicalEntry:n09488.e02	
lexicogComponent:n09591.e02_comp	Cardoso’s subentry for 'imbecillis'	siue	lexicalEntry:n09591.e02	
lexicogComponent:n09847.e02_comp	Cardoso’s subentry for 'impurate'	siue	lexicalEntry:n09847.e02	
lexicogComponent:n09868.e02_comp	Cardoso’s subentry for 'inaequabilitas'	siue	lexicalEntry:n09868.e02	
lexicogComponent:n09900.e02_comp	Cardoso’s subentry for 'inardesco'	siue	lexicalEntry:n09900.e02	
lexicogComponent:n09928.e02_comp	Cardoso’s subentry for 'incalesco'	siue	lexicalEntry:n09928.e02	
lexicogComponent:n09931.e02_comp	Cardoso’s subentry for 'incanesco'	siue	lexicalEntry:n09931.e02	
lexicogComponent:n09991.e02_comp	Cardoso’s subentry for 'inclinatus'	siue	lexicalEntry:n09991.e02	
lexicogComponent:n09998.e02_comp	Cardoso’s subentry for 'incaenis'	seu	lexicalEntry:n09998.e02	
lexicogComponent:n10001.e02_comp	Cardoso’s subentry for 'inceptum'	siue	lexicalEntry:n10001.e02	
lexicogComponent:n10080.e02_comp	Cardoso’s subentry for 'Increbresco'	siue.	lexicalEntry:n10080.e02	
lexicogComponent:n10114.e02_comp	Cardoso’s subentry for 'incuriosus'	siue	lexicalEntry:n10114.e02	
lexicogComponent:n10118.e02_comp	Cardoso’s subentry for 'incursus'	siue	lexicalEntry:n10118.e02	
lexicogComponent:n10120.e02_comp	Cardoso’s subentry for 'incuruesco'	siue	lexicalEntry:n10120.e02	
lexicogComponent:n10164.e02_comp	Cardoso’s subentry for 'indicatura'	siue	lexicalEntry:n10164.e02	
lexicogComponent:n10223.e02_comp	Cardoso’s subentry for 'indolesco'	siue	lexicalEntry:n10223.e02	
lexicogComponent:n10233.e02_comp	Cardoso’s subentry for 'indubitabilis'	siue	lexicalEntry:n10233.e02	
lexicogComponent:n10234.e02_comp	Cardoso’s subentry for 'indubitabiliter'	siue	lexicalEntry:n10234.e02	
lexicogComponent:n10253.e02_comp	Cardoso’s subentry for 'induresco'	siue	lexicalEntry:n10253.e02	
lexicogComponent:n10310.e02_comp	Cardoso’s subentry for 'inexercitus'	siue	lexicalEntry:n10310.e02	
lexicogComponent:n10375.e02_comp	Cardoso’s subentry for 'infectus'	siue	lexicalEntry:n10375.e02	
lexicogComponent:n10400.e10_comp	Cardoso’s subentry for 'Inficior'		lexicalEntry:n10400.e10	
lexicogComponent:n10432.e02_comp	Cardoso’s subentry for 'inflatus'	siue	lexicalEntry:n10432.e02	
lexicogComponent:n10436.e02_comp	Cardoso’s subentry for 'inflexio'	siue	lexicalEntry:n10436.e02	
lexicogComponent:n10472.e02_comp	Cardoso’s subentry for 'infrenus'	siue	lexicalEntry:n10472.e02	
lexicogComponent:n10520.e02_comp	Cardoso’s subentry for 'ingestus'	siue	lexicalEntry:n10520.e02	
lexicogComponent:n10537.e02_comp	Cardoso’s subentry for 'ingressio'	siue	lexicalEntry:n10537.e02	
lexicogComponent:n10551.e02_comp	Cardoso’s subentry for 'inhalitus'	siue	lexicalEntry:n10551.e02	
lexicogComponent:n10567.e02_comp	Cardoso’s subentry for 'inhorresco'	siue	lexicalEntry:n10567.e02	
lexicogComponent:n10573.e02_comp	Cardoso’s subentry for 'inhumaniter'	siue	lexicalEntry:n10573.e02	
lexicogComponent:n10652.e02_comp	Cardoso’s subentry for 'innexus'	siue	lexicalEntry:n10652.e02	
lexicogComponent:n10698.e02_comp	Cardoso’s subentry for 'inopinatus'	siue	lexicalEntry:n10698.e02	
lexicogComponent:n10719.e02_comp	Cardoso’s subentry for 'inquietus'	siue	lexicalEntry:n10719.e02	
lexicogComponent:n10740.e02_comp	Cardoso’s subentry for 'insaniter'	siue	lexicalEntry:n10740.e02	
lexicogComponent:n10741.e02_comp	Cardoso’s subentry for 'insanitas'	siue	lexicalEntry:n10741.e02	
lexicogComponent:n10757.e02_comp	Cardoso’s subentry for 'inscensus'	siue	lexicalEntry:n10757.e02	
lexicogComponent:n10758.e02_comp	Cardoso’s subentry for 'inscienter'	siue	lexicalEntry:n10758.e02	
lexicogComponent:n10844.e02_comp	Cardoso’s subentry for 'insolesco'	siue	lexicalEntry:n10844.e02	
lexicogComponent:n10869.e02_comp	Cardoso’s subentry for 'inspersus'	siue	lexicalEntry:n10869.e02	
lexicogComponent:n10952.e02_comp	Cardoso’s subentry for 'intabesco'	siue	lexicalEntry:n10952.e02	
lexicogComponent:n10976.e02_comp	Cardoso’s subentry for 'intemperia'	siue	lexicalEntry:n10976.e02	
lexicogComponent:n11000.e02_comp	Cardoso’s subentry for 'intercalarius'	siue	lexicalEntry:n11000.e02	
lexicogComponent:n11010.e02_comp	Cardoso’s subentry for 'interceptus'	siue	lexicalEntry:n11010.e02	
lexicogComponent:n11024.e02_comp	Cardoso’s subentry for 'interdictum'	siue	lexicalEntry:n11024.e02	
lexicogComponent:n11056.e02_comp	Cardoso’s subentry for 'interlectus'	siue	lexicalEntry:n11056.e02	
lexicogComponent:n11109.e02_comp	Cardoso’s subentry for 'interpositus'	siue	lexicalEntry:n11109.e02	
lexicogComponent:n11147.e02_comp	Cardoso’s subentry for 'interstitio'		lexicalEntry:n11147.e02	
lexicogComponent:n11151.e02_comp	Cardoso’s subentry for 'intertextus'	siue	lexicalEntry:n11151.e02	
lexicogComponent:n11163.e02_comp	Cardoso’s subentry for 'interuentus'	siue	lexicalEntry:n11163.e02	
lexicogComponent:n11201.e02_comp	Cardoso’s subentry for 'intrarius'	siue	lexicalEntry:n11201.e02	
lexicogComponent:n11209.e02_comp	Cardoso’s subentry for 'intremisco'	siue	lexicalEntry:n11209.e02	
lexicogComponent:n11230.e02_comp	Cardoso’s subentry for 'introgressus'	siue	lexicalEntry:n11230.e02	
lexicogComponent:n11240.e02_comp	Cardoso’s subentry for 'intumesco'	siue	lexicalEntry:n11240.e02	
lexicogComponent:n11244.e02_comp	Cardoso’s subentry for 'intusiata vestis'	siue	lexicalEntry:n11244.e02	
lexicogComponent:n11255.e02_comp	Cardoso’s subentry for 'inualesco'	siue	lexicalEntry:n11255.e02	
lexicogComponent:n11279.e02_comp	Cardoso’s subentry for 'inuentum'	siue	lexicalEntry:n11279.e02	
