ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n1453.sg01.s01						o medidor de terras		 o medidor de terras 	
lexicalSense:n1454.sg01.s01						livros		 livros , que trataõ das cousas pertencentes á cultura dos campos 	
lexicalSense:n1455.sg01.s01						trazer		 trazer , ter , fazer 	
lexicalSense:n1455.sg01.s02	usageExample:n1455.sg01.s02.u01	Cum accus. se, significa				haver-se		 haver - se 	
lexicalSense:n1455.sg01.s99	usageExample:n1455.sg01.s99.u01, usageExample:n1455.sg01.s99.u02, usageExample:n1455.sg01.s99.u03, usageExample:n1455.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1456.sg01.s01						hum Rey de Hespanha		 hum Rey de Hespanha , que fingem tinha tres corpos 	
lexicalSense:n1456.sg10.s01		e				um caõ de duas cabeças		 um caõ de duas cabeças 	
lexicalSense:n1457.sg01.s01						a corcova		 a corcova 	
lexicalSense:n1457.sg10.s01						o mesmo		 o mesmo , ou qualquer inchaçaõ do corpo 	
lexicalSense:n1457.sg20.s01						cousa arqueada a modo de corcova		 cousa arqueada a modo de corcova 	
lexicalSense:n1457.sg30.s01						a corcova		 a corcova 	
lexicalSense:n1457.sg40.s01						cousa corcovada		 cousa corcovada 	
lexicalSense:n1458.sg01.s01						gigante nascido da terra		 gigante nascido da terra 	
lexicalSense:n1459.sg01.s01						gerar		 gerar 	Activ.
lexicalSense:n1460.sg01.s01						nigella		 nigella , semente 	
lexicalSense:n1461.sg01.s01						bolota		 bolota , ou pelouro 	
lexicalSense:n1462.sg01.s01						arganaz		 arganaz , rato grande 	
lexicalSense:n1463.sg01.s01						crescer		 crescer , desejar muito 	Neutr.
lexicalSense:n1464.sg01.s01						o novello		 o novello 	
lexicalSense:n1464.sg10.s01						envolver		 envolver , ajuntar , ennovellar 	
lexicalSense:n1465.sg01.s01	usageExample:n1465.sg01.s01.u01					gloriar-se		 gloriar - se 	Cum accus. reperitur.
lexicalSense:n1465.sg01.s99	usageExample:n1465.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1466.sg01.s01						colla		 colla , grude 	
lexicalSense:n1467.sg01.s01						huma mulher		 huma mulher 	Apud Terent.
lexicalSense:n1468.sg01.s01						cousa sabia		 cousa sabia , ou experimentada 	gen.
lexicalSense:n1468.sg01.s02		Invenitur passivè				cousa conhecida		 cousa conhecida 	cum dat.
lexicalSense:n1470.sg01.s01						cadozes		 cadozes , peixe 	
lexicalSense:n1471.sg01.s01						medida Hebraica		 medida Hebraica 	levava dous celamins, ou hum quartilho nosso, pouco mais, ou menos
lexicalSense:n1472.sg01.s01						cousa delgada		 cousa delgada , tenue , ou magra 	
lexicalSense:n1473.sg01.s01						andar		 andar , marchar 	Depon.
lexicalSense:n1474.sg01.s01						Sciencia de fallar		 Sciencia de fallar , e escrever certo 	Latini in plurali Litteras vocant, in sing. Litteraturam
lexicalSense:n1474.sg10.s01					est studium litterarum		 est studium litterarum 		
lexicalSense:n1474.sg30.s01						o que sabe bem Grammatica		 o que sabe bem Grammatica , ou ensina 	
lexicalSense:n1474.sg40.s01						o que sabe pouco de Grammatica		 o que sabe pouco de Grammatica 	
lexicalSense:n1475.sg01.s01						a pedra		 a pedra , que chove , saraiva 	
lexicalSense:n1476.sg01.s01	usageExample:n1476.sg01.s01.u01					agradecimento		 agradecimento 	
lexicalSense:n1477.sg01.s01	usageExample:n1477.sg01.s01.u01					cousa agradavel		 cousa agradavel , bemquista , e valîda 	
lexicalSense:n1478.sg01.s01						de graça		 de graça , sem paga 	
lexicalSense:n1479.sg01.s01		activè				cousa agradecida		 cousa agradecida 	accus. cum In
lexicalSense:n1479.sg01.s02	usageExample:n1479.sg01.s02.u01	passivé				cousa agradavel		 cousa agradavel , ou aceita 	
lexicalSense:n1479.sg01.s99	usageExample:n1479.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1479.sg10.s01		verò (quod dat. vel accus. simul cum dat. habet)				fazer beneficio		 fazer beneficio , ou favorecer ao que he menor 	
lexicalSense:n1480.sg01.s01						cousa carregada		 cousa carregada , ou pesada 	
lexicalSense:n1481.sg01.s01						cousa grave		 cousa grave , modesta , confiante , severa , pesada 	abl.
