ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n2605.sg01.s01						rua larga		 rua larga , bairro , ou rocio , onde se ajunta o povo 	
lexicalSense:n2606.sg01.s01	usageExample:n2606.sg01.s01.u01					bater com os pés		 bater com os pés , ou maõs em sinal de alegria , applaudir , ou dar pateada 	dat.
lexicalSense:n2606.sg01.s02		habet & accus. por				louvar		 louvar , ou receber com applauso 	
lexicalSense:n2606.sg01.s99	usageExample:n2606.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2607.sg01.s01						o povo inferior		 o povo inferior 	
lexicalSense:n2608.sg01.s01	usageExample:n2608.sg01.s01.u01					castigar		 castigar , punir 	
lexicalSense:n2608.sg01.s02	usageExample:n2608.sg01.s02.u01								
lexicalSense:n2608.sg01.s99	usageExample:n2608.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2608.sg02.s02		interdum			pro Implicare		 pro Implicare , & Texere 		apud Poetas
lexicalSense:n2609.sg01.s01						o Sete estrello		 o Sete estrello 	Latinè Vergilia, vel Suculae.
lexicalSense:n2610.sg01.s01						cousa chea		 cousa chea , ou abundante 	
lexicalSense:n2611.sg01.s01	usageExample:n2611.sg01.s01.u01, usageExample:n2611.sg01.s01.u02, usageExample:n2611.sg01.s01.u03				idem est		 idem est , quod Plures , & plura , vel maxima ex parte 		
lexicalSense:n2611.sg10.s01						quasi sempre pela mayor parte		 quasi sempre pela mayor parte 	
lexicalSense:n2612.sg01.s01						dobrar		 dobrar , ou enroscar 	Activ.
lexicalSense:n2613.sg01.s01						o chumbo		 o chumbo 	
lexicalSense:n2614.sg01.s01						chover		 chover 	o que chove, em abl. ou accus.
lexicalSense:n2615.sg01.s01						cousa muito		 cousa muito , ou mui grande 	
lexicalSense:n2616.sg01.s01						mais		 mais 	neutr. sing. & substant. unde post se gen. habet, vel abl. utpote comparativum à Multus, & interdum nominativ. vel accus. subaudito quàm: in plur. adject. plures & plura, vel pluria
lexicalSense:n2616.sg01.s99	usageExample:n2616.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2617.sg01.s01						manta de guerra		 manta de guerra 	
lexicalSense:n2617.sg01.s02						almario		 almario , ou estante , onde se poem livros 	
lexicalSense:n2617.sg01.s03						taboa		 taboa , ou mesa para ensinar , compor , e escrever 	
lexicalSense:n2618.sg01.s01						o poema		 o poema , ou poesia 	
lexicalSense:n2619.sg01.s01						o castigo		 o castigo 	
lexicalSense:n2619.sg10.s01						pena		 pena , ou aza das aves 	
lexicalSense:n2620.sg01.s01						ter pezar		 ter pezar , pejo , ou pena de alguma cousa 	
lexicalSense:n2620.sg01.s99	usageExample:n2620.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2620.sg10.s01						cousa digna de que se faça pouco caso		 cousa digna de que se faça pouco caso , ou se tenha pejo 	cum dat.
lexicalSense:n2621.sg01.s01						valer		 valer , ter poder 	
lexicalSense:n2622.sg01.s01						dedo polegar		 dedo polegar 	
lexicalSense:n2622.sg01.s99	usageExample:n2622.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2623.sg01.s01						prometter		 prometter , ou affirmar 	
lexicalSense:n2624.sg01.s01						a flor da farinha		 a flor da farinha 	
lexicalSense:n2625.sg01.s01						irmaõ gemeo de Castor		 irmaõ gemeo de Castor 	qui à Poetis Tindaridae, & Ledaei fratres: signumque Geminorum constituere, nautisque propitii dicuntur.
lexicalSense:n2626.sg01.s01						hum Santo Bispo de Esmirna		 hum Santo Bispo de Esmirna 	
lexicalSense:n2627.sg01.s01						nome de dous fihos de Priamo		 nome de dous fihos de Priamo 	
lexicalSense:n2628.sg01.s01						hum Rey de Thracia		 hum Rey de Thracia 	
lexicalSense:n2629.sg01.s01						polvo		 polvo , peixe 	
lexicalSense:n2630.sg01.s01						pompa		 pompa , apparato solemne , espectaculo 	
lexicalSense:n2631.sg01.s01						Cidade de Campania em Italia		 Cidade de Campania em Italia 	
lexicalSense:n2632.sg01.s01						nome de varios romanos illustres		 nome de varios romanos illustres 	
lexicalSense:n2633.sg01.s01						nome geral de toda a fruta de comer		 nome geral de toda a fruta de comer 	
lexicalSense:n2633.sg10.s01						qualquer arvore de tal fruta		 qualquer arvore de tal fruta 	
lexicalSense:n2634.sg01.s01	usageExample:n2634.sg01.s01.u01					libra		 libra , peso de doze onças , ou qualquer peso 	
lexicalSense:n2635.sg01.s01						peso		 peso 	
lexicalSense:n2635.sg01.s02		interdum			pro libra		 pro libra 		
lexicalSense:n2636.sg01.s01						detraz		 detraz 	
lexicalSense:n2637.sg01.s01	usageExample:n2637.sg01.s01.u01					pôr		 pôr , ou collocar 	ferè habet accus. & abl. cum In, interdum accus. & dat.
lexicalSense:n2637.sg01.s02		Apud Poetas			etiam pro pingere	pintar	 etiam pro pingere , vel sculpere 	 pintar , esculpir 	cum accus.
lexicalSense:n2637.sg01.s99	usageExample:n2637.sg01.s99.u01, usageExample:n2637.sg01.s99.u02, usageExample:n2637.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2638.sg01.s01						ponte		 ponte 	
lexicalSense:n2639.sg01.s01						o mar		 o mar , que corre da lagoa Meotis athé a Ilha de Tenedos 	
lexicalSense:n2639.sg10.s01		toma-se por				qualquer mar		 qualquer mar 	
lexicalSense:n2639.sg20.s01						huma provincia de Asia menor		 huma provincia de Asia menor 	
lexicalSense:n2640.sg01.s01						a curva da perna		 a curva da perna 	
lexicalSense:n2641.sg01.s01						homem		 homem , ou mulher do povo 	
lexicalSense:n2641.sg10.s01						cousa do povo		 cousa do povo , aprazivel , amada 	
lexicalSense:n2642.sg01.s01						roubar		 roubar , destruir 	accus.
lexicalSense:n2643.sg01.s01						o povo		 o povo 	
lexicalSense:n2643.sg10.s01						povo pequeno		 povo pequeno 	
lexicalSense:n2644.sg01.s01						o alemo		 o alemo , arvore 	
lexicalSense:n2645.sg01.s01						certamente		 certamente , mas , muito , depois , longe , álem , ou por diante 	
lexicalSense:n2645.sg01.s02		interdum			hortantis est		 hortantis est 		
lexicalSense:n2646.sg01.s01						porro		 porro , certa hortaliça 	
lexicalSense:n2647.sg01.s01						o alpendre		 o alpendre 	
lexicalSense:n2648.sg01.s01						a parte		 a parte , ou porçaõ 	
lexicalSense:n2649.sg01.s01						o porto		 o porto 	
lexicalSense:n2649.sg01.s99	usageExample:n2649.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2650.sg01.s01						Porto		 Porto , nobilissima Cidade 	
lexicalSense:n2651.sg01.s01						pedir		 pedir , ou demandar cousa devida , e justa 	
lexicalSense:n2651.sg01.s02		interdum			pro Provocare	provocar	 pro Provocare 	 provocar , desafiar 	accus.
lexicalSense:n2651.sg01.s99	usageExample:n2651.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2652.sg01.s01						a possessaõ		 a possessaõ 	
lexicalSense:n2653.sg01.s01						poder		 poder , ou ter poder 	
lexicalSense:n2653.sg01.s99	usageExample:n2653.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2654.sg01.s01						depois		 depois 	
lexicalSense:n2654.sg01.s02	usageExample:n2654.sg01.s02.u01								interdum cum abl. temporis, sed tunc est adverb.
lexicalSense:n2654.sg10.s01	usageExample:n2654.sg10.s01.u01					depois		 depois , ou detraz 	accus.
lexicalSense:n2655.sg01.s01						depois disso		 depois disso 	
lexicalSense:n2656.sg01.s01						descendentes		 descendentes , ou vindouros 	
lexicalSense:n2656.sg10.s01						cousa subsequente		 cousa subsequente , depois de outra 	
lexicalSense:n2657.sg01.s01						cousa mais depois		 cousa mais depois , ou mais vil 	
lexicalSense:n2658.sg01.s01						cousa ultima		 cousa ultima , e mui vil 	
lexicalSense:n2659.sg01.s01						pospôr		 pospôr 	aliquid alicui.
lexicalSense:n2660.sg01.s01						pospor		 pospor , estimar em menos 	
lexicalSense:n2661.sg01.s01						a umbreira da porta		 a umbreira da porta , pela qual se toma 	
lexicalSense:n2662.sg01.s01						pouco depois		 pouco depois 	
lexicalSense:n2663.sg01.s01						pospor		 pospor , estimar em menos 	
lexicalSense:n2664.sg01.s01						depois que		 depois que 	
lexicalSense:n2665.sg01.s01						finalmente		 finalmente 	
lexicalSense:n2666.sg01.s01						hum dia depois		 hum dia depois 	
lexicalSense:n2667.sg01.s01						pedir com instancia		 pedir com instancia , requerer , ou demandar com direito 	aliquid ab aliquo, vel cum solo accus. personae
lexicalSense:n2667.sg01.s99	usageExample:n2667.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2668.sg01.s01						cousa poderosa		 cousa poderosa , senhora , capaz 	
lexicalSense:n2669.sg01.s01						a bebida		 a bebida , beberagem , purga 	
lexicalSense:n2670.sg01.s01	usageExample:n2670.sg01.s01.u01					cousa melhor		 cousa melhor 	Comp. cum abl.
lexicalSense:n2670.sg01.s02	usageExample:n2670.sg01.s02.u01					Cousa melhor para alguem		 Cousa melhor para alguem , ou mais desejada 	dat.
lexicalSense:n2670.sg10.s01						antes		 antes 	per comparationem.
lexicalSense:n2671.sg01.s01						alcançar		 alcançar , apoderar - se , gozar 	
lexicalSense:n2671.sg01.s99	usageExample:n2671.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2672.sg01.s01						cousa melhor de todas		 cousa melhor de todas , ou principal 	
lexicalSense:n2672.sg10.s01						principalmente		 principalmente 	
lexicalSense:n2673.sg01.s01						beber		 beber 	Act.
lexicalSense:n2673.sg10.s01						a bebida		 a bebida 	
lexicalSense:n2673.sg20.s01						cousa		 cousa , que bebeo muito , cousa bebida 	
lexicalSense:n2674.sg01.s01	usageExample:n2674.sg01.s01.u01					ante		 ante , ou diante 	
lexicalSense:n2674.sg01.s02	usageExample:n2674.sg01.s02.u01	interdum			pro Propter		 pro Propter 		
lexicalSense:n2674.sg01.s03	usageExample:n2674.sg01.s03.u01				Pro Praeter		 Pro Praeter 		
lexicalSense:n2674.sg01.s04	usageExample:n2674.sg01.s04.u01				Pro In		 Pro In , vel Inter 		
lexicalSense:n2674.sg01.s99	usageExample:n2674.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2675.sg01.s01						cousa muito aguda		 cousa muito aguda 	
lexicalSense:n2676.sg01.s01						dar		 dar 	aliquid alicui
lexicalSense:n2676.sg01.s02		por				mostrar		 mostrar 	accus.
lexicalSense:n2676.sg01.s99	usageExample:n2676.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2677.sg01.s01	usageExample:n2677.sg01.s01.u01, usageExample:n2677.sg01.s01.u02					acautelar-se dantes		 acautelar - se dantes , ou evitar 	accus. vel abl. cum praep. rarò cum dativ.
lexicalSense:n2678.sg01.s01						preceder		 preceder , ir diante , sobrepujar 	accus. vel dativ.
lexicalSense:n2679.sg01.s01						preceder		 preceder , vencer na excellencia 	accus.
lexicalSense:n2679.sg01.s02		por				dominar		 dominar , ou mandar sobre alguem 	dat.
lexicalSense:n2680.sg01.s01						cingir		 cingir , ou cercar 	accus. & abl.
lexicalSense:n2681.sg01.s01	usageExample:n2681.sg01.s01.u01					cantar antes de alguma cousa		 cantar antes de alguma cousa 	dat.
lexicalSense:n2681.sg01.s02		por				dizer antes		 dizer antes , ou adivinhar 	accus.
lexicalSense:n2682.sg01.s01	usageExample:n2682.sg01.s01.u01					tomar dantes		 tomar dantes , ou prevenir 	accus.
lexicalSense:n2682.sg01.s02		Por				mandar com imperio		 mandar com imperio 	alicui
lexicalSense:n2682.sg01.s03	usageExample:n2682.sg01.s03.u01	por				avizar dantes		 avizar dantes , instruir , dar preceitos , ensinar 	accus. vel abl. cum De, | interdum aliquid alicui.
lexicalSense:n2683.sg01.s01						cousa principal		 cousa principal , singular , e propria 	saepe cum gen. cum dativo interdum.
lexicalSense:n2684.sg01.s01						cerrar		 cerrar , ou fechar antecipadamente 	
lexicalSense:n2684.sg01.s02	usageExample:n2684.sg01.s02.u01					impedir		 impedir , tomar a passagem 	
lexicalSense:n2685.sg01.s01						partes visinhas ao coraçaõ		 partes visinhas ao coraçaõ 	
lexicalSense:n2686.sg01.s01						cousa temporã		 cousa temporã 	
lexicalSense:n2687.sg01.s01						correr		 correr , ou ir diante 	
lexicalSense:n2688.sg01.s01	usageExample:n2688.sg01.s01.u01	saepe in bonam partem				cousa dotada		 cousa dotada , e ornada 	
lexicalSense:n2688.sg01.s02	usageExample:n2688.sg01.s02.u01	Interdum in malam partem				cousa inficionada		 cousa inficionada , e que tem algum mal 	
lexicalSense:n2689.sg01.s01						ir diante		 ir diante 	dat. vel accus.
lexicalSense:n2690.sg01.s01						levar diante		 levar diante , preferir , antepor 	
lexicalSense:n2690.sg01.s99	usageExample:n2690.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2691.sg01.s01	usageExample:n2691.sg01.s01.u01					dar superintendencia		 dar superintendencia , ou pôr alguem em algum cargo 	
lexicalSense:n2692.sg01.s01	usageExample:n2692.sg01.s01.u01					determinar		 determinar , limitar ; ou assinalar dantes 	
lexicalSense:n2693.sg01.s01						cousa muito pesada		 cousa muito pesada , molesta 	
lexicalSense:n2694.sg01.s01	usageExample:n2694.sg01.s01.u01					ir		 ir , ou passar diante , levar ventagem 	rarò dat.
lexicalSense:n2695.sg01.s01	usageExample:n2695.sg01.s01.u01					luzir diante		 luzir diante , levar luz diante , ou resplandecer mais 	
lexicalSense:n2696.sg01.s01						ensayar-se para alguma cousa		 ensayar - se para alguma cousa 	
lexicalSense:n2697.sg01.s01	usageExample:n2697.sg01.s01.u01					temer dantes		 temer dantes , que venha algum mal a alguem 	
lexicalSense:n2698.sg01.s01						exceder com superioridade		 exceder com superioridade , e preeminencia , levar ventagem 	cum accus. saepius, quàm dat.
lexicalSense:n2699.sg01.s01						moderar dantes		 moderar dantes 	dat.
lexicalSense:n2700.sg01.s01						avisar dantes		 avisar dantes 	saepe sine casu cum Ut; interdum aliquem de aliqua re; rarò duos accus.
lexicalSense:n2701.sg01.s01						Prenestina Cidade de Italia		 Prenestina Cidade de Italia 	
lexicalSense:n2702.sg01.s01	usageExample:n2702.sg01.s01.u01					luzir muito		 luzir muito , ou mais , que alguem 	
lexicalSense:n2703.sg01.s01	usageExample:n2703.sg01.s01.u01					desejar antes huma cousa		 desejar antes huma cousa , que outra 	
lexicalSense:n2704.sg01.s01	usageExample:n2704.sg01.s01.u01					preparar		 preparar , apparelhar dantes 	
lexicalSense:n2705.sg01.s01						cousa ligeira		 cousa ligeira 	
lexicalSense:n2706.sg01.s01	usageExample:n2706.sg01.s01.u01					antepor		 antepor 	aliquid alicui
lexicalSense:n2706.sg01.s02		Por				pôr diante		 pôr diante 	accus.
lexicalSense:n2707.sg01.s01						cousa ao revez		 cousa ao revez , avessa , fôra de tempo , e ordem 	rarò cum dat.
lexicalSense:n2707.sg10.s01						ás avessas		 ás avessas 	
lexicalSense:n2708.sg01.s01						cousa mui poderosa		 cousa mui poderosa 	
lexicalSense:n2709.sg01.s01						o fiador		 o fiador 	
lexicalSense:n2710.sg01.s01						cousa		 cousa , que sabe dantes 	
lexicalSense:n2711.sg01.s01						escrever dantes		 escrever dantes 	
lexicalSense:n2711.sg01.s02						mandar		 mandar , determinar , ordenar 	aliquid alicui
lexicalSense:n2711.sg01.s03		por				pôr excepçaõ ao Author		 pôr excepçaõ ao Author 	dat.
lexicalSense:n2711.sg10.s01						o titulo		 o titulo , ou forma por onde se pode fazer alguma cousa 	
lexicalSense:n2711.sg10.s02						regra		 regra , preceito , ley 	
lexicalSense:n2712.sg01.s01						cousa presente		 cousa presente 	
lexicalSense:n2712.sg01.s02		Significat etiam				cousa a ponto		 cousa a ponto , apparelhada , ou propria 	sine casu
lexicalSense:n2712.sg01.s03		por				cousa poderosa		 cousa poderosa , ou efficaz para algum negocio 	dat. vel accus. cum Ad, saepe sine casu.
lexicalSense:n2712.sg01.s99	usageExample:n2712.sg01.s99.u01, usageExample:n2712.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2713.sg01.s01						cousa efficaz para obrar depressa		 cousa efficaz para obrar depressa 	accus. cum praep. Ad, vel dat.
lexicalSense:n2714.sg01.s01						estrebaria		 estrebaria , ou manjedoura 	
lexicalSense:n2715.sg01.s01						presidente		 presidente , ou governador 	
lexicalSense:n2716.sg01.s01						presidir		 presidir , senhorear , governar 	cum dat. saepe; rarò cum accus.
lexicalSense:n2717.sg01.s01						jogo de passa passa		 jogo de passa passa , peças diligentes de maõs 	
lexicalSense:n2717.sg01.s02		toma-se tambem pelo				engano		 engano 	
lexicalSense:n2718.sg01.s01	usageExample:n2718.sg01.s01.u01, usageExample:n2718.sg01.s01.u02					exceder		 exceder , ou levar ventagem 	dat. saepiùs, quàm accus. & abl. rei, qua quis excellit; | interdum cum solo abl.
lexicalSense:n2718.sg01.s02		Por				dar		 dar 	aliquid alicui
lexicalSense:n2718.sg01.s03	usageExample:n2718.sg01.s03.u01, usageExample:n2718.sg01.s03.u02	por				mostrar		 mostrar , fazer , ou cumprir 	accus.
lexicalSense:n2718.sg01.s04	usageExample:n2718.sg01.s04.u01	por				tomar sobre si o successo		 tomar sobre si o successo , perigo , ou obrigaçaõ de alguma cousa 	accus.
lexicalSense:n2718.sg02.s01	usageExample:n2718.sg02.s01.u01, usageExample:n2718.sg02.s01.u02, usageExample:n2718.sg02.s01.u03					cousa excellente		 cousa excellente , que excede ás mais 	cum dat. tantùm, & abl. | saepe cum solo abl. | abl. interdum mutatur Poetis in gen.
lexicalSense:n2718.sg10.s01	usageExample:n2718.sg10.s01.u01, usageExample:n2718.sg10.s01.u02	In tertiis personis sing. significat				ser melhor		 ser melhor 	Interdum additur dat.
lexicalSense:n2719.sg01.s01						cousa presente		 cousa presente , prestes , favoravel 	jungitur solùm cum Sum, vel Adsum.
lexicalSense:n2720.sg01.s01						estar esperando		 estar esperando 	accus. vel dat.
lexicalSense:n2721.sg01.s01						o prelado		 o prelado 	
lexicalSense:n2722.sg01.s01	usageExample:n2722.sg01.s01.u01					saltar diante		 saltar diante 	
lexicalSense:n2722.sg10.s01						saltar		 saltar , ou dançar diante 	dat.
lexicalSense:n2722.sg20.s01						o que guia a dança		 o que guia a dança 	
lexicalSense:n2723.sg01.s01						presidir		 presidir , governar , e ter superintendencia em alguma cousa 	dat.
lexicalSense:n2724.sg01.s01						pôr diante		 pôr diante , ou oppor 	aliquid alicui
lexicalSense:n2724.sg01.s02		por				levar diante		 levar diante , mostrar , ou allegar 	accus.
lexicalSense:n2725.sg01.s01						tirando		 tirando , além , fora , contra , ou sobre 	
lexicalSense:n2725.sg01.s02	usageExample:n2725.sg01.s02.u01, usageExample:n2725.sg01.s02.u02	interdum			pro Ante	diante	 pro Ante 	 diante 	
lexicalSense:n2726.sg01.s01						tirando		 tirando , ou álem 	
lexicalSense:n2726.sg01.s02		quod etiam significat			Praeter		 Praeter 		
lexicalSense:n2726.sg01.s99	usageExample:n2726.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2727.sg01.s01	usageExample:n2727.sg01.s01.u01, usageExample:n2727.sg01.s01.u02, usageExample:n2727.sg01.s01.u03					cobrir		 cobrir , ou encobrir 	accus. cui etiam additur abl.
lexicalSense:n2727.sg01.s02		Por				ordenar		 ordenar , ordir , ou compôr dantes 	accus.
lexicalSense:n2727.sg01.s03	usageExample:n2727.sg01.s03.u01, usageExample:n2727.sg01.s03.u02	Por				dar cor		 dar cor , ou buscar escusas a alguma cousa 	aliquid alicui, | Saepius cum accus. & abl.
lexicalSense:n2728.sg01.s01	usageExample:n2728.sg01.s01.u01					pretexto		 pretexto , ou escusa 	
lexicalSense:n2728.sg10.s01	usageExample:n2728.sg10.s01.u01					cousa coberta		 cousa coberta , ou encoberta 	
lexicalSense:n2728.sg20.s01					qua Senatores		 qua Senatores , Magistratus , & alij utebantur 		
lexicalSense:n2729.sg01.s01						temer muito		 temer muito , que venha mal 	alicui.
lexicalSense:n2730.sg01.s01						prevaricar		 prevaricar , apartar - se do que he bem , e obrigaçaõ sua 	sine casu
lexicalSense:n2730.sg01.s02	usageExample:n2730.sg01.s02.u01				in litibus autem forensibus praevaricare dicuntur		 in litibus autem forensibus praevaricare dicuntur , vel accusator , vel defensor , cúm , proditâ causâ suâ , adversarij causam juvant 		
lexicalSense:n2731.sg01.s01						passar		 passar , ou ir diante , anticipar - se , ou prevenir 	accus. & interdum dat.
lexicalSense:n2731.sg10.s01					idem significans		 idem significans 		cum dat. vel accus.
lexicalSense:n2731.sg10.s02		Item Praevertor, por				preferir		 preferir , ou antepor 	Aliquid alicui.
lexicalSense:n2732.sg01.s01						cousa queimada		 cousa queimada , ou tostada na ponta 	
lexicalSense:n2733.sg01.s01	usageExample:n2733.sg01.s01.u01					jantar		 jantar 	Neutr. interdum cum accus.
lexicalSense:n2733.sg10.s01						cousa		 cousa , que tem jantado 	
lexicalSense:n2734.sg01.s01						os rogos		 os rogos 	
lexicalSense:n2735.sg01.s01						rogar		 rogar , pedir 	saepe cum solo accus. personae, à qua petimus, vel rei, quam petimus: | interdum cum aliquid ab aliquo
lexicalSense:n2735.sg01.s99	usageExample:n2735.sg01.s99.u01, usageExample:n2735.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2736.sg01.s01						lançar maõ		 lançar maõ , tomar , prender 	Activ.
lexicalSense:n2736.sg10.s01						tomar		 tomar , ou lançar a maõ muitas vezes 	accus. verbo proprio dos requerentes, e pertendentes, quando pegaõ na maõ dos que haõ de votar.
lexicalSense:n2737.sg01.s01						pisar		 pisar , opprimir , apertar , seguir , vexar , refrear , occultar , ou encobrir 	Activ.
lexicalSense:n2737.sg01.s99	usageExample:n2737.sg01.s99.u01, usageExample:n2737.sg01.s99.u02, usageExample:n2737.sg01.s99.u03, usageExample:n2737.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2738.sg01.s01						o anciaõ		 o anciaõ 	
lexicalSense:n2738.sg01.s02		toma-se pelo				Sacerdote		 Sacerdote 	
lexicalSense:n2739.sg01.s01						o filho de Priamo		 o filho de Priamo 	
lexicalSense:n2740.sg01.s01						hum dia dantes		 hum dia dantes 	accus. vel gen.
lexicalSense:n2740.sg10.s01						cousa do dia dantes		 cousa do dia dantes 	
lexicalSense:n2741.sg01.s01						o primeiro lugar		 o primeiro lugar , ou ventagem 	
lexicalSense:n2742.sg01.s01						as primicias		 as primicias , ou primeiros frutos 	
lexicalSense:n2743.sg01.s01						primeiramente		 primeiramente , ou em primeiro lugar 	
lexicalSense:n2743.sg02.s01						cousa primeira		 cousa primeira , ou principal 	
lexicalSense:n2743.sg10.s01						cousa primeira		 cousa primeira , que outra , ou outras 	
lexicalSense:n2743.sg20.s01	usageExample:n2743.sg20.s01.u01, usageExample:n2743.sg20.s01.u02, usageExample:n2743.sg20.s01.u03	est absolutum, significatque				as extremidades		 as extremidades , ou pontas em qualquer cousa 	cohaerens cum substant.
lexicalSense:n2743.sg20.s02		reperitur interdum in sing. & etiam in pl. substantivè				pelos homens principaes		 pelos homens principaes , ou dentes dianteiros 	
lexicalSense:n2744.sg01.s01						o primeiro		 o primeiro , ou principal 	
lexicalSense:n2744.sg01.s02						Principe		 Principe , ou Princeza 	
lexicalSense:n2744.sg01.s99	usageExample:n2744.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2745.sg01.s01						hum peixe mui comprido		 hum peixe mui comprido 	
lexicalSense:n2745.sg01.s02						huma náo		 huma náo 	apud Virg.
lexicalSense:n2746.sg01.s01						privar		 privar 	
lexicalSense:n2746.sg01.s99	usageExample:n2746.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2747.sg01.s01						primeiro que		 primeiro que , ou antes que 	
lexicalSense:n2748.sg01.s01	usageExample:n2748.sg01.s01.u01					por		 por , ou em lugar 	
lexicalSense:n2748.sg01.s02	usageExample:n2748.sg01.s02.u01	Significat etiam			Tanquam		 Tanquam 		
lexicalSense:n2748.sg01.s03	usageExample:n2748.sg01.s03.u01				pro Ante		 pro Ante 		
lexicalSense:n2748.sg01.s04	usageExample:n2748.sg01.s04.u01				Pro In		 Pro In 		
lexicalSense:n2748.sg01.s05	usageExample:n2748.sg01.s05.u01				Pro Juxta		 Pro Juxta , vel Secundum 		
lexicalSense:n2748.sg01.s99	usageExample:n2748.sg01.s99.u01, usageExample:n2748.sg01.s99.u02, usageExample:n2748.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n2749.sg01.s01						Interject. de quem se admira		 Interject . de quem se admira , ou indigna 	
lexicalSense:n2750.sg01.s01						ir por diante		 ir por diante 	
