lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n0161	Velez’s entry for 'Aeolides'		lexicalEntry:n0161.e01		353. 18.
lexicogEntry:n0162	Velez’s entry for 'Aeolis'		lexicalEntry:n0162.e01		356. 3.
lexicogEntry:n0163	Velez’s entry for 'Aepy'		lexicalEntry:n0163.e01		141. 10.
lexicogEntry:n0164	Velez’s entry for 'Aequalis'		lexicalEntry:n0164.e01		211. 26.
lexicogEntry:n0165	Velez’s entry for 'Aequi bonique facere'		lexicalEntry:n0165.e01		230. 33.
lexicogEntry:n0166	Velez’s entry for 'Aequilibris'		lexicalEntry:n0166.e01		213. 15.
lexicogEntry:n0167	Velez’s entry for 'Aequiparo'		lexicalEntry:n0167.e01		232. 5.
lexicogEntry:n0168	Velez’s entry for 'Aequo'		lexicalEntry:n0168.e01		Ibide.
lexicogEntry:n0169	Velez’s entry for 'Aequor'		lexicalEntry:n0169.e01		126. 5.
lexicogEntry:n0170	Velez’s entry for 'Aequus'		lexicalEntry:n0170.e01		213. 15. & 214. 3.
lexicogEntry:n0171	Velez’s entry for 'Aer'		lexicalEntry:n0171.e01		151. 27. 295. 18. 26. 309. 14. 322. 21.
lexicogEntry:n0172	Velez’s entry for 'Aes'		lexicalEntry:n0172.e01		129. 25. & 162. 7. 169. 24.
lexicogEntry:n0173	Velez’s entry for 'Aesonides'		lexicalEntry:n0173.e01		355. 6.
lexicogEntry:n0174	Velez’s entry for 'Aestimo'		lexicalEntry:n0174.e01		230. 4. & 13. & 25. & 28.
lexicogEntry:n0175	Velez’s entry for 'Aestiva'		lexicalEntry:n0175.e01		165. 12.
lexicogEntry:n0176	Velez’s entry for 'Aeternus'		lexicalEntry:n0176.e01	lexicogComponent:n0176.e20_comp, lexicogComponent:n0176.e21_comp	106. 2.
lexicogEntry:n0177	Velez’s entry for 'Aether'		lexicalEntry:n0177.e01	lexicogComponent:n0177.e01_comp	151. 27. & 309. 14. 322. 21.
lexicogEntry:n0178	Velez’s entry for 'Aethiops'		lexicalEntry:n0178.e01		312. 3.
lexicogEntry:n0179	Velez’s entry for 'Affatim'		lexicalEntry:n0179.e01	lexicogComponent:n0179.e01_comp	267. 4. & 6.
lexicogEntry:n0180	Velez’s entry for 'Affectio'		lexicalEntry:n0180.e01		172. 12. 13.
lexicogEntry:n0181	Velez’s entry for 'Affero'		lexicalEntry:n0181.e01	lexicogComponent:n0181.e01_comp	233. 14.
lexicogEntry:n0182	Velez’s entry for 'Afficio'		lexicalEntry:n0182.e01	lexicogComponent:n0182.e20_comp	236. 1.
lexicogEntry:n0183	Velez’s entry for 'Affigo'		lexicalEntry:n0183.e01	lexicogComponent:n0183.e01_comp	233. 14.
lexicogEntry:n0184	Velez’s entry for 'Affingo'		lexicalEntry:n0184.e01		Ibidem.
lexicogEntry:n0185	Velez’s entry for 'Affinis'		lexicalEntry:n0185.e01		121. 4.
lexicogEntry:n0186	Velez’s entry for 'Affinis'		lexicalEntry:n0186.e01		211. 24.
lexicogEntry:n0187	Velez’s entry for 'Affligo'		lexicalEntry:n0187.e01		233. 15.
lexicogEntry:n0188	Velez’s entry for 'Afflo'		lexicalEntry:n0188.e01		Ibidem.
lexicogEntry:n0189	Velez’s entry for 'Affluo'		lexicalEntry:n0189.e01		224. 9. & 226. 12.
lexicogEntry:n0190	Velez’s entry for 'Affrico'		lexicalEntry:n0190.e01		233. 15.
lexicogEntry:n0191	Velez’s entry for 'Affulgeo'		lexicalEntry:n0191.e01		224. 10.
lexicogEntry:n0192	Velez’s entry for 'Affundo'		lexicalEntry:n0192.e01		233. 15.
lexicogEntry:n0193	Velez’s entry for 'Agamemnon'		lexicalEntry:n0193.e01		172. 15. & 311. 3.
lexicogEntry:n0194	Velez’s entry for 'Agè'		lexicalEntry:n0194.e01		112. 26.
lexicogEntry:n0195	Velez’s entry for 'Agenorides'		lexicalEntry:n0195.e01		355. 1. &. 4.
lexicogEntry:n0196	Velez’s entry for 'Aggero'		lexicalEntry:n0196.e01		233. 15.
lexicogEntry:n0197	Velez’s entry for 'Aggredior'		lexicalEntry:n0197.e01		239. 30.
lexicogEntry:n0198	Velez’s entry for 'Agmen'		lexicalEntry:n0198.e01		99. 10. & 142. 11.
lexicogEntry:n0199	Velez’s entry for 'Agnascor'		lexicalEntry:n0199.e01		224. 10.
lexicogEntry:n0200	Velez’s entry for 'Agnosco'		lexicalEntry:n0200.e01	lexicogComponent:n0200.e01_comp	237. 16.
lexicogEntry:n0201	Velez’s entry for 'Ago'		lexicalEntry:n0201.e01		189. 12. & 232. 14.
lexicogEntry:n0202	Velez’s entry for 'Agon'		lexicalEntry:n0202.e01		125 25.
lexicogEntry:n0203	Velez’s entry for 'Agragas'		lexicalEntry:n0203.e01		127. 10.
lexicogEntry:n0204	Velez’s entry for 'Agricola'		lexicalEntry:n0204.e01		120. 21.
lexicogEntry:n0205	Velez’s entry for 'Ah'		lexicalEntry:n0205.e01		113. 24.
lexicogEntry:n0206	Velez’s entry for 'Aiax'		lexicalEntry:n0206.e01		150. 12.
lexicogEntry:n0207	Velez’s entry for 'Aio'		lexicalEntry:n0207.e01		178. 29.
lexicogEntry:n0208	Velez’s entry for 'Alabaster'		lexicalEntry:n0208.e01		172. 16.
lexicogEntry:n0209	Velez’s entry for 'Alacer'		lexicalEntry:n0209.e01	lexicogComponent:n0209.e01_comp	143. 12.
lexicogEntry:n0210	Velez’s entry for 'Alcedo'		lexicalEntry:n0210.e01		172. 18.
lexicogEntry:n0211	Velez’s entry for 'Alcides'		lexicalEntry:n0211.e01	lexicogComponent:n0211.e01_comp	354. 25.
lexicogEntry:n0212	Velez’s entry for 'Alcyon'		lexicalEntry:n0212.e01		125. 14. & 25.
lexicogEntry:n0213	Velez’s entry for 'Alecto'		lexicalEntry:n0213.e01		120. 30. &. 141. 31. 320. 10.
lexicogEntry:n0214	Velez’s entry for 'Ales'		lexicalEntry:n0214.e01		134. 9.
lexicogEntry:n0215	Velez’s entry for 'Ales'		lexicalEntry:n0215.e01		121. 29. & 171. 7.
lexicogEntry:n0216	Velez’s entry for 'Alex'		lexicalEntry:n0216.e01		130. 30.
lexicogEntry:n0217	Velez’s entry for 'Alecis'		lexicalEntry:n0217.e01		146. 24. & 18.
lexicogEntry:n0218	Velez’s entry for 'Algeo'		lexicalEntry:n0218.e01		184. 2.
lexicogEntry:n0219	Velez’s entry for 'Alibi'		lexicalEntry:n0219.e01		269. 30.
lexicogEntry:n0220	Velez’s entry for 'Alicubi'		lexicalEntry:n0220.e01		Ibidem.
lexicogEntry:n0221	Velez’s entry for 'Aliunde'		lexicalEntry:n0221.e01		270. 5.
lexicogEntry:n0222	Velez’s entry for 'Alienigena'		lexicalEntry:n0222.e01		120. 19.
lexicogEntry:n0223	Velez’s entry for 'Alieno'		lexicalEntry:n0223.e01		237. 4.
lexicogEntry:n0224	Velez’s entry for 'Alienus'		lexicalEntry:n0224.e01		215. 8. & 216. 13. & 20.
lexicogEntry:n0225	Velez’s entry for 'Aliò'		lexicalEntry:n0225.e01		270. 11. 21.
lexicogEntry:n0226	Velez’s entry for 'Aliquà'		lexicalEntry:n0226.e01	lexicogComponent:n0226.e01_comp	270. 15.
lexicogEntry:n0227	Velez’s entry for 'Aliquantò'		lexicalEntry:n0227.e01		273. 2. & 10.
lexicogEntry:n0228	Velez’s entry for 'Aliquis'		lexicalEntry:n0228.e01	lexicogComponent:n0228.e01_comp	169. 7. & 209. 1.
