ontolex.LexicalEntry	subClass	decomp.subterm	lexinfo.note	ontolex.canonicalForm	ontolex.lexicalForm	ontolex.sense	rdfs.label	skos.note
lexicalEntry:n0117.e01	ontolex:Word			lilaIpoLemma:910		lexicalSense:n0117.sg01.s01	Velez’s lexical entry for 'Adolescens'	
lexicalEntry:n0117.e10	ontolex:Word			lilaIpoLemma:910		lexicalSense:n0117.sg10.s01	Velez’s lexical entry for 'Adolescens'	
lexicalEntry:n0118.e01	ontolex:Word			lilaLemma:3920		lexicalSense:n0118.sg01.s01, lexicalSense:n0118.sg01.s02, lexicalSense:n0118.sg01.s99	Velez’s lexical entry for 'Adonis'	
lexicalEntry:n0119.e01	ontolex:Word			lilaLemma:87620		lexicalSense:n0119.sg01.s01, lexicalSense:n0119.sg01.s99	Velez’s lexical entry for 'Adopto'	
lexicalEntry:n0120.e01	ontolex:Word			lilaLemma:87622		lexicalSense:n0120.sg01.s01	Velez’s lexical entry for 'Ador'	increm. comm.
lexicalEntry:n0121.e01	ontolex:Word			lilaLemma:87634		lexicalSense:n0121.sg01.s01	Velez’s lexical entry for 'Adoro'	
lexicalEntry:n0122.e01	ontolex:Word		Patronym. foem.	lilaLemma:4178		lexicalSense:n0122.sg01.s01	Velez’s lexical entry for 'Adrastine'	
lexicalEntry:n0123.e01	ontolex:Word			lilaLemma:90066		lexicalSense:n0123.sg01.s01	Velez’s lexical entry for 'Adrepo'	
lexicalEntry:n0124.e01	ontolex:Word			lilaLemma:4201		lexicalSense:n0124.sg01.s01	Velez’s lexical entry for 'Adria'	
lexicalEntry:n0125.e01	ontolex:Word			lilaLemma:90198		lexicalSense:n0125.sg01.s01, lexicalSense:n0125.sg01.s99	Velez’s lexical entry for 'Adscribo'	
lexicalEntry:n0126.e01	ontolex:Word			lilaLemma:90267		lexicalSense:n0126.sg01.s01, lexicalSense:n0126.sg01.s02, lexicalSense:n0126.sg01.s99	Velez’s lexical entry for 'Adspiro'	Vide Aspiro.
lexicalEntry:n0127.e01	ontolex:Word			lilaLemma:90420		lexicalSense:n0127.sg01.s01, lexicalSense:n0127.sg01.s99	Velez’s lexical entry for 'Adstipulor'	
lexicalEntry:n0128.e01	ontolex:Word			lilaLemma:90423		lexicalSense:n0128.sg01.s01	Velez’s lexical entry for 'Adsto'	
